Film,Genre,A,B,D,F,S
The Shawshank Redemption,Drama,31,4,33,39,55
The Shining,Horror,1,3,3,10,0
The Shipping News,Romance,3,3,2,4,4
The Siege,Thriller,7,2,4,20,10
The Sixth Sense,Mystery,0,0,0,0,0
The Social Network,Drama,8,5,2,17,17
The Sting,Crime,2,1,10,3,2
The Stuntman,Romance,25,15,40,24,15
The Surfer King,Comedy,0,0,0,0,0
The Sweet Hereafter,Drama,0,1,3,5,1
The Taking of Pelham One Two Three,Crime,8,8,4,19,19
The Talented Mr. Ripley,Mystery,2,0,1,4,1
The (The Bijou) Majestic,Romance,1,0,6,0,1
The Theory of Everything,Romance,0,0,1,0,0
The Thing,Horror,8,2,28,9,18
The Things My Father Never Taught Me,Short,0,1,1,0,0
The Three Musketeers,Romance,0,0,3,0,0
The Time Machine,Sci-Fi,0,0,1,0,0
The Tourist,Thriller,0,0,2,1,3
The Truman Show,Sci-Fi,0,1,5,10,3
The Ugly Truth,Romance,7,3,1,13,9
The Usual Suspects,Mystery,11,3,4,36,22
The Verdict,Drama,3,0,8,10,3
The Village,Mystery,0,0,0,0,0
The Visitor,Romance,0,0,1,1,2
The Way Back,Adventure,0,0,5,2,3
The Whistleblower,Thriller,2,1,1,20,7
The White Ribbon,Mystery,0,0,2,0,0
The Wild Bunch,Western,4,4,27,0,0
the Witch and the Wardrobe Chronicles of Narnia: The Lion,Fantasy,0,0,0,0,0
The Wizard of Oz,Musical,0,0,0,0,0
The Wolf of Wall Street,Crime,13,5,5,180,36
The Woodsman,Drama,7,1,5,26,15
The World is not Enough,Adventure,1,0,1,0,0
The Wrestler,Drama,19,2,4,41,23
The X-Files: Fight the Future,Sci-Fi,3,0,2,1,4
Three Kings (Spoils of War),War,9,6,9,2,4
Transformers: The Movie,Animation,0,0,2,0,0
Twilight: New Moon,Horror,1,0,8,0,0
Un Singe en Hiver,Comedy,0,0,0,0,0
Wall-E,Animation,0,0,0,0,0
Wanda June Happy Birthday,Comedy,4,7,10,10,11
White Christmas,Musical,0,0,0,0,0
White Jazz,Mystery,13,3,6,39,17
Withnail and I,Comedy,0,1,1,38,1
