,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,Gandhi,1982,PG,25 Feb 1983,191 min,79,8.0,"214,287",tt0083987,N/A
0,Henry Fool,1997,R,19 Jun 1998,137 min,68,7.2,"6,762",tt0122529,N/A
0,The Black Forest Hospital: The Next Generation,2005,N/A,20 Feb 2005,100 min,N/A,4.9,71,tt0441789,N/A
0,Human Nature,2001,R,12 Sep 2001,96 min,56,6.4,"17,093",tt0219822,"$651,165"
0,G.I. Jane,1997,R,22 Aug 1997,125 min,62,5.9,"71,574",tt0119173,N/A
0,Fruitvale Station,2013,R,26 Jul 2013,85 min,85,7.5,"72,709",tt2334649,"$11,010,136"
0,Grand Theft Parsons,2003,PG-13,18 Jun 2004,88 min,46,6.0,"3,273",tt0338075,N/A
0,Heathers,1989,R,31 Mar 1989,103 min,72,7.2,"83,648",tt0097493,N/A
0,"Happy Birthday, Wanda June",1971,R,09 Dec 1971,105 min,N/A,6.1,248,tt0067180,N/A
0,I'll Do Anything,1994,PG-13,04 Feb 1994,115 min,N/A,5.5,"2,389",tt0110097,N/A
0,In the Loop,2009,Not Rated,04 Sep 2009,106 min,83,7.4,"53,087",tt1226774,"$2,251,324"
0,Good Will Hunting,1997,R,09 Jan 1998,126 min,70,8.3,"829,889",tt0119217,N/A
0,Game 6,2005,R,01 Jan 2005,87 min,56,5.8,"2,422",tt0425055,N/A
0,Five Easy Pieces,1970,R,12 Sep 1970,98 min,85,7.5,"32,018",tt0065724,N/A
0,Foxcatcher,2014,R,16 Jan 2015,134 min,81,7.0,"131,194",tt1100089,"$9,744,477"
0,Frances,1982,R,11 Mar 1983,140 min,48,7.4,"6,605",tt0083967,N/A
0,Funny People,2009,R,31 Jul 2009,146 min,60,6.3,"112,695",tt1201167,"$51,814,190"
0,Ghost World,2001,R,21 Sep 2001,111 min,88,7.3,"110,999",tt0162346,"$4,694,484"
0,Flight,2012,R,02 Nov 2012,138 min,76,7.3,"317,748",tt1907668,"$89,400,000"
0,Ferris Bueller's Day Off,1986,PG-13,11 Jun 1986,103 min,61,7.8,"309,550",tt0091042,N/A
0,Fletch,1985,PG,31 May 1985,98 min,68,6.9,"46,314",tt0089155,N/A
0,Elizabeth: The Golden Age,2007,PG-13,12 Oct 2007,114 min,45,6.8,"64,844",tt0414055,"$16,264,475"
0,The Doors: The Soft Parade,1991,N/A,N/A,50 min,N/A,7.9,247,tt0195660,N/A
0,Street Fighter: The Legend of Chun-Li,2009,PG-13,27 Feb 2009,96 min,17,3.7,"22,615",tt0891592,"$8,646,753"
0,Four Rooms,1995,R,25 Dec 1995,98 min,N/A,6.8,"95,749",tt0113101,N/A
0,Forrest Gump,1994,PG-13,06 Jul 1994,142 min,82,8.8,"1,737,186",tt0109830,"$330,000,000"
0,Drop Dead Gorgeous,1999,PG-13,23 Jul 1999,97 min,28,6.6,"31,682",tt0157503,N/A
0,Fear and Loathing in Las Vegas,1998,R,22 May 1998,118 min,41,7.6,"252,866",tt0120669,N/A
0,Ed Wood,1994,R,07 Oct 1994,127 min,70,7.8,"162,206",tt0109707,N/A
0,Election,1999,R,07 May 1999,103 min,83,7.2,"87,166",tt0126886,N/A
0,Fast Times at Ridgemont High,1982,R,13 Aug 1982,90 min,61,7.2,"89,930",tt0083929,N/A
0,Erin Brockovich,2000,R,17 Mar 2000,131 min,73,7.3,"169,051",tt0195685,N/A
0,Do the Right Thing,1989,R,21 Jul 1989,120 min,93,7.9,"83,609",tt0097216,N/A
0,Custody,2017,N/A,07 Feb 2018,93 min,83,7.5,"7,590",tt6002232,N/A
0,Death at a Funeral,2007,R,07 Sep 2007,90 min,67,7.4,"106,835",tt0795368,N/A
0,Code of Silence,1985,R,03 May 1985,101 min,64,6.1,"6,624",tt0088936,N/A
