,Film_x,Genre,A,B,D,F,S,test,Unnamed: 0,Film_y,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
27,Sling Blade,Drama,10,7,17,17,11,sling blade,0,Sling Blade,1996.0,R,14 Mar 1997,135 min,84.0,8.0,"85,323",tt0117666,
28,Taking Sides,Drama,0,0,3,8,6,taking sides,0,Taking Sides,2001.0,Not Rated,07 Mar 2002,108 min,61.0,7.2,"2,993",tt0260414,
29,Thirteen Days,Drama,11,3,16,8,16,thirteen days,0,Thirteen Days,2000.0,PG-13,12 Jan 2001,145 min,67.0,7.3,"52,749",tt0146309,
30,Straight Outta Compton,Drama,40,9,22,161,159,straight outta compton,0,Straight Outta Compton,2015.0,R,14 Aug 2015,147 min,72.0,7.9,"175,063",tt1398426,"$129,402,415"
31,Sugar,Drama,2,0,3,8,15,sugar,0,Sugar,2008.0,R,24 Apr 2009,114 min,82.0,7.2,"4,503",tt0990413,"$1,037,595"
32,Snow Falling On Cedars,Drama,2,4,3,5,1,snow falling on cedars,0,Snow Falling on Cedars,1999.0,PG-13,07 Jan 2000,127 min,44.0,6.7,"13,473",tt0120834,
33,Rebel Without A Cause,Drama,0,0,0,0,0,rebel without a cause,0,Rebel Without a Cause,1955.0,PG-13,24 Nov 1955,111 min,89.0,7.7,"81,022",tt0048545,
34,Raging Bull,Drama,10,3,2,67,7,raging bull,0,Raging Bull,1980.0,R,19 Dec 1980,129 min,89.0,8.2,"310,546",tt0081398,
35,Room,Drama,1,0,1,2,3,room,0,Room,2015.0,R,22 Jan 2016,118 min,86.0,8.1,"351,480",tt3170832,"$14,677,654"
36,Shame,Drama,10,1,0,68,6,shame,0,Shame,2011.0,NC-17,13 Jan 2012,101 min,72.0,7.2,"178,488",tt1723811,"$2,971,782"
37,Precious,Drama,22,19,8,15,13,precious,0,Precious,2009.0,R,20 Nov 2009,110 min,78.0,7.3,"103,598",tt0929632,"$47,536,959"
38,Shampoo,Drama,6,5,5,32,17,shampoo,0,Shampoo,1975.0,R,13 Mar 1975,109 min,65.0,6.3,"10,200",tt0073692,
39,RKO 281,Drama,1,3,22,26,12,rko 281,0,RKO 281,1999.0,R,20 Nov 1999,86 min,,7.0,"5,558",tt0120801,
40,Rush,Drama,13,0,0,8,6,rush,0,Rush,2013.0,R,27 Sep 2013,123 min,74.0,8.1,"419,377",tt1979320,"$22,442,876"
41,Rambling Rose,Drama,4,13,27,0,3,rambling rose,0,Rambling Rose,1991.0,R,20 Sep 1991,112 min,,6.6,"4,482",tt0102753,
42,This Boy's Life,Drama,6,3,13,12,10,this boy's life,0,This Boy's Life,1993.0,R,23 Apr 1993,115 min,60.0,7.3,"45,100",tt0108330,
43,To Sleep with Anger,Drama,4,0,11,0,0,to sleep with anger,0,To Sleep with Anger,1990.0,PG,12 Oct 1990,102 min,,7.3,"1,640",tt0100791,
44,Purple Rain,Drama,8,2,3,22,11,purple rain,0,Purple Rain,1984.0,R,27 Jul 1984,111 min,55.0,6.6,"18,889",tt0087957,
45,Top Gun,Drama,3,6,14,0,11,top gun,0,Top Gun,1986.0,PG,16 May 1986,110 min,50.0,6.9,"283,087",tt0092099,
46,Pariah,Drama,8,0,13,10,14,pariah,0,Pariah,2011.0,R,20 Jan 2011,86 min,79.0,7.2,"5,885",tt1233334,"$758,099"
47,Petulia,Drama,1,1,9,0,0,petulia,0,Petulia,1968.0,R,02 Sep 1968,105 min,,7.1,"2,705",tt0063426,
48,Wonder Boys,Comedy,3,1,6,14,14,wonder boys,0,Wonder Boys,2000.0,R,25 Feb 2000,107 min,73.0,7.3,"60,120",tt0185014,
49,Wag the Dog,Comedy,1,0,2,8,5,wag the dog,0,Wag the Dog,1997.0,R,09 Jan 1998,97 min,73.0,7.2,"77,317",tt0120885,
50,Win Win,Comedy,3,0,3,19,32,win win,0,Win Win,2011.0,R,15 Apr 2011,106 min,75.0,7.1,"52,319",tt1606392,"$10,100,000"
51,What About Bob?,Comedy,6,4,1,0,3,what about bob?,0,What About Bob?,1991.0,PG,17 May 1991,99 min,60.0,7.0,"60,767",tt0103241,
52,Ordinary People,Drama,8,1,14,10,12,ordinary people,0,Ordinary People,1980.0,R,19 Sep 1980,124 min,86.0,7.7,"45,278",tt0081283,
53,Philadelphia,Drama,6,1,7,17,13,philadelphia,0,Philadelphia,1993.0,PG-13,14 Jan 1994,125 min,66.0,7.7,"217,505",tt0107818,
54,Sunshine Cleaning,Comedy,4,0,7,15,21,sunshine cleaning,0,Sunshine Cleaning,2008.0,R,17 Apr 2009,91 min,61.0,6.8,"68,621",tt0862846,"$12,033,702"
55,Swingers,Comedy,19,26,3,26,25,swingers,0,Swingers,1996.0,R,11 Apr 1997,96 min,71.0,7.2,"73,586",tt0117802,
56,Tin Men,Comedy,15,15,17,27,15,tin men,0,Tin Men,1987.0,R,13 Mar 1987,112 min,75.0,6.5,"7,527",tt0094155,
57,Sugar and Spice,Comedy,17,6,5,9,28,sugar and spice,0,Sugar and Spice,1989–,,06 Apr 1989,25 min,,8.1,23,tt0363379,
58,My Week with Marilyn,Drama,1,0,2,12,3,my week with marilyn,0,My Week with Marilyn,2011,R,23 Dec 2011,99 min,65.0,7.0,"82,007",tt1655420,"$12,600,000"
59,Mud,Drama,11,8,4,0,28,mud,0,Mud,2012,PG-13,10 May 2013,130 min,76.0,7.4,"163,320",tt1935179,"$21,589,307"
60,Moneyball,Drama,8,1,0,8,10,moneyball,0,Moneyball,2011,PG-13,23 Sep 2011,133 min,87.0,7.6,"349,587",tt1210166,"$75,605,492"
61,This is 40,Comedy,14,8,6,63,17,this is 40,0,This Is 40,2012,R,21 Dec 2012,134 min,59.0,6.2,"124,171",tt1758830,"$65,200,000"
62,Music of the Heart,Drama,1,1,2,0,3,music of the heart,0,Music of the Heart,1999,PG,29 Oct 1999,124 min,54.0,6.8,"11,502",tt0166943,
63,Superbad,Comedy,28,16,4,123,71,superbad,0,Superbad,2007,R,17 Aug 2007,113 min,76.0,7.6,"508,694",tt0829482,"$121,463,226"
64,"Synecdoche, New York",Comedy,5,0,2,37,5,"synecdoche, new york",0,"Synecdoche, New York",2008,R,05 Feb 2009,124 min,67.0,7.6,"78,444",tt0383028,"$3,000,000"
65,One Flew Over the Cuckoo's Nest,Drama,14,3,4,12,8,one flew over the cuckoo's nest,0,One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,83.0,8.7,"884,641",tt0073486,
66,Milk,Drama,5,0,7,8,12,milk,0,Milk,2008,R,30 Jan 2009,128 min,84.0,7.5,"161,742",tt1013753,"$31,716,847"
67,Smashed,Comedy,5,7,4,40,17,smashed,0,Smashed,2012,R,14 Dec 2012,81 min,71.0,6.8,"16,181",tt2063781,"$375,981"
68,Sexual Life,Comedy,5,1,2,10,7,sexual life,0,Sexual Life,2004,R,19 Jun 2004,96 min,,5.0,900,tt0376874,
69,Saving Mr. Banks,Comedy,0,0,1,0,0,saving mr. banks,0,Saving Mr. Banks,2013,PG-13,20 Dec 2013,125 min,65.0,7.5,"147,963",tt2140373,"$53,260,198"
70,Real Genius,Comedy,0,0,0,0,0,real genius,0,Real Genius,1985,PG,07 Aug 1985,108 min,71.0,7.0,"29,339",tt0089886,
71,State and Main,Comedy,4,3,3,6,3,state and main,0,State and Main,2000,R,12 Jan 2001,105 min,75.0,6.7,"20,113",tt0120202,"$5,770,800"
72,Little Men,Drama,0,2,2,1,1,little men,0,Little Men,2016,PG,04 May 2017,85 min,86.0,6.7,"6,675",tt4919484,"$702,191"
73,Raising Arizona,Comedy,4,8,20,3,13,raising arizona,0,Raising Arizona,1987,PG-13,17 Apr 1987,94 min,68.0,7.3,"123,452",tt0093822,
74,Semi-Pro,Comedy,17,3,8,24,28,semi-pro,0,Semi-Pro,2008,R,29 Feb 2008,91 min,47.0,5.8,"77,000",tt0839980,"$33,370,443"
75,Lincoln,Drama,0,2,18,1,3,lincoln,0,Lincoln,2012,PG-13,16 Nov 2012,150 min,86.0,7.3,"239,062",tt0443272,"$129,477,447"
76,Magnolia,Drama,13,6,10,168,34,magnolia,0,Magnolia,1999,R,07 Jan 2000,188 min,77.0,8.0,"282,457",tt0175880,
77,Malcolm X,Drama,2,9,4,1,13,malcolm x,0,Malcolm X,1992,PG-13,18 Nov 1992,202 min,72.0,7.7,"82,459",tt0104797,
78,Margaret,Drama,6,1,3,49,12,margaret,0,Margaret,2011,R,01 Jun 2012,150 min,61.0,6.4,"15,594",tt0466893,"$46,495"
79,Stepmom,Comedy,3,2,10,13,9,stepmom,0,Stepmom,1998,PG-13,25 Dec 1998,125 min,58.0,6.8,"58,507",tt0120686,
80,Light Sleeper,Drama,5,1,2,26,8,light sleeper,0,Light Sleeper,1992,R,13 Mar 1992,103 min,70.0,6.9,"5,232",tt0102307,
81,Kundun,Drama,0,0,0,0,0,kundun,0,Kundun,1997,PG-13,16 Jan 1998,134 min,74.0,7.0,"25,507",tt0119485,
82,Papadopoulos & Sons,Comedy,0,1,0,7,4,papadopoulos & sons,0,Papadopoulos & Sons,2012,Not Rated,05 Apr 2013,105 min,,6.0,"2,228",tt2006810,
83,Peggy Sue Got Married,Comedy,0,1,10,0,3,peggy sue got married,0,Peggy Sue Got Married,1986,PG-13,10 Oct 1986,103 min,74.0,6.3,"31,521",tt0091738,
84,Storytelling,Comedy,2,2,1,19,6,storytelling,0,Storytelling,2001,R,08 Nov 2001,87 min,50.0,6.8,"16,848",tt0250081,"$850,758"
85,Midnight Cowboy,Drama,3,3,3,0,1,midnight cowboy,0,Midnight Cowboy,1969,R,16 Jun 1969,113 min,79.0,7.8,"97,754",tt0064665,
86,Napoleon Dynamite,Comedy,0,0,0,0,0,napoleon dynamite,0,Napoleon Dynamite,2004,PG,27 Aug 2004,96 min,64.0,6.9,"193,466",tt0374900,"$44,478,018"
87,Next Friday,Comedy,46,7,29,32,26,next friday,0,Next Friday,2000,R,12 Jan 2000,98 min,41.0,6.2,"35,810",tt0195945,
88,Office Space,Comedy,13,3,3,12,23,office space,0,Office Space,1999,R,19 Feb 1999,89 min,68.0,7.7,"236,377",tt0151804,
89,Mumford,Comedy,5,3,3,6,6,mumford,0,Mumford,1999,R,24 Sep 1999,112 min,62.0,6.8,"8,660",tt0140397,
90,Invictus,Drama,1,0,2,0,4,invictus,0,Invictus,2009,PG-13,11 Dec 2009,134 min,74.0,7.3,"146,753",tt1057500,"$37,431,431"
91,Margot at the Wedding,Comedy,4,1,0,39,11,margot at the wedding,0,Margot at the Wedding,2007,R,14 Dec 2007,91 min,66.0,6.0,"19,133",tt0757361,"$1,929,081"
92,Major League,Comedy,5,2,8,14,25,major league,0,Major League,1989,R,07 Apr 1989,107 min,62.0,7.2,"60,183",tt0097815,
93,Kafka,Drama,0,0,1,0,0,kafka,0,Kafka,1991,PG-13,15 Nov 1991,98 min,46.0,6.9,"9,089",tt0102181,
94,I am Sam,Drama,1,1,6,1,1,i am sam,0,I Am Sam,2001,PG-13,25 Jan 2002,132 min,28.0,7.7,"140,577",tt0277027,"$40,270,895"
95,Meet John Doe,Comedy,0,0,0,0,0,meet john doe,0,Meet John Doe,1941,Not Rated,03 May 1941,122 min,,7.7,"11,442",tt0033891,
96,Hitchcock,Drama,0,1,3,0,0,hitchcock,0,Hitchcock,2012,PG-13,14 Dec 2012,98 min,55.0,6.8,"70,613",tt0975645,"$6,002,708"
97,Man on the Moon,Comedy,6,0,3,6,6,man on the moon,0,Man on the Moon,1999,R,22 Dec 1999,118 min,58.0,7.4,"121,427",tt0125664,
98,Malibu's Most Wanted,Comedy,37,17,30,1,7,malibu's most wanted,0,Malibu's Most Wanted,2003,PG-13,18 Apr 2003,86 min,43.0,5.1,"18,248",tt0328099,"$34,308,901"
99,Living in Oblivion,Comedy,8,0,5,47,13,living in oblivion,0,Living in Oblivion,1995,R,21 Jul 1995,90 min,81.0,7.5,"15,918",tt0113677,
100,Kids,Drama,9,12,2,99,42,kids,0,Kids,1995,Unrated,01 Sep 1995,91 min,63.0,7.1,"71,099",tt0113540,
101,Hesher,Drama,8,2,0,98,24,hesher,0,Hesher,2010,R,25 Jun 2011,106 min,45.0,7.0,"49,780",tt1403177,"$300,000"
102,Legally Blonde,Comedy,13,5,3,2,3,legally blonde,0,Legally Blonde,2001,PG-13,13 Jul 2001,96 min,59.0,6.3,"178,156",tt0250494,"$95,001,351"
103,Life,Comedy,13,10,28,19,16,life,0,Life,2017,R,24 Mar 2017,104 min,54.0,6.6,"199,775",tt5442430,"$30,180,466"
104,Life As A House,Comedy,4,1,2,16,11,life as a house,0,Life as a House,2001,R,09 Nov 2001,125 min,45.0,7.5,"42,248",tt0264796,"$15,412,701"
105,Little Athens,Comedy,41,11,1,136,79,little athens,0,Little Athens,2005,R,01 Jun 2005,103 min,,5.6,902,tt0417907,
106,Gladiator,Drama,1,0,7,0,1,gladiator,0,Gladiator,2000,R,05 May 2000,155 min,67.0,8.5,"1,295,815",tt0172495,
107,Get on Up,Drama,6,1,4,9,20,get on up,0,Get on Up,2014,PG-13,01 Aug 2014,139 min,71.0,6.9,"20,086",tt2473602,"$22,838,662"
108,Gods and Monsters,Drama,4,2,7,11,5,gods and monsters,0,Gods and Monsters,1998,R,04 Nov 1998,105 min,74.0,7.4,"28,694",tt0120684,
109,Gandhi,Drama,0,0,7,0,0,gandhi,0,Gandhi,1982,PG,25 Feb 1983,191 min,79.0,8.0,"214,287",tt0083987,
110,Henry Fool,Comedy,5,0,1,17,13,henry fool,0,Henry Fool,1997,R,19 Jun 1998,137 min,68.0,7.2,"6,762",tt0122529,
111,Human Nature,Comedy,3,5,4,14,8,human nature,0,Human Nature,2001,R,12 Sep 2001,96 min,56.0,6.4,"17,093",tt0219822,"$651,165"
112,G.I. Jane,Drama,11,3,11,14,17,g.i. jane,0,G.I. Jane,1997,R,22 Aug 1997,125 min,62.0,5.9,"71,574",tt0119173,
113,Fruitvale Station,Drama,15,11,1,58,40,fruitvale station,0,Fruitvale Station,2013,R,26 Jul 2013,85 min,85.0,7.5,"72,709",tt2334649,"$11,010,136"
114,Grand Theft Parsons,Comedy,3,5,9,2,9,grand theft parsons,0,Grand Theft Parsons,2003,PG-13,18 Jun 2004,88 min,46.0,6.0,"3,273",tt0338075,
115,Heathers,Comedy,16,11,22,28,32,heathers,0,Heathers,1989,R,31 Mar 1989,103 min,72.0,7.2,"83,648",tt0097493,
116,"Happy Birthday, Wanda June",Comedy,4,7,10,10,11,"happy birthday, wanda june",0,"Happy Birthday, Wanda June",1971,R,09 Dec 1971,105 min,,6.1,248,tt0067180,
117,I'll Do Anything,Comedy,0,2,2,11,11,i'll do anything,0,I'll Do Anything,1994,PG-13,04 Feb 1994,115 min,,5.5,"2,389",tt0110097,
118,In the Loop,Comedy,2,2,0,150,26,in the loop,0,In the Loop,2009,Not Rated,04 Sep 2009,106 min,83.0,7.4,"53,087",tt1226774,"$2,251,324"
119,Good Will Hunting,Comedy,13,4,7,93,28,good will hunting,0,Good Will Hunting,1997,R,09 Jan 1998,126 min,70.0,8.3,"829,889",tt0119217,
120,Game 6,Comedy,0,1,0,0,2,game 6,0,Game 6,2005,R,01 Jan 2005,87 min,56.0,5.8,"2,422",tt0425055,
121,Five Easy Pieces,Drama,6,3,10,1,13,five easy pieces,0,Five Easy Pieces,1970,R,12 Sep 1970,98 min,85.0,7.5,"32,018",tt0065724,
122,Foxcatcher,Drama,1,1,0,7,4,foxcatcher,0,Foxcatcher,2014,R,16 Jan 2015,134 min,81.0,7.0,"131,194",tt1100089,"$9,744,477"
123,Frances,Drama,2,5,15,8,4,frances,0,Frances,1982,R,11 Mar 1983,140 min,48.0,7.4,"6,605",tt0083967,
124,Funny People,Comedy,9,4,1,101,54,funny people,0,Funny People,2009,R,31 Jul 2009,146 min,60.0,6.3,"112,695",tt1201167,"$51,814,190"
125,Ghost World,Comedy,9,7,1,28,6,ghost world,0,Ghost World,2001,R,21 Sep 2001,111 min,88.0,7.3,"110,999",tt0162346,"$4,694,484"
126,Flight,Drama,10,4,6,61,27,flight,0,Flight,2012,R,02 Nov 2012,138 min,76.0,7.3,"317,748",tt1907668,"$89,400,000"
127,Ferris Bueller's Day Off,Comedy,19,1,4,0,29,ferris bueller's day off,0,Ferris Bueller's Day Off,1986,PG-13,11 Jun 1986,103 min,61.0,7.8,"309,550",tt0091042,
128,Fletch,Comedy,0,0,0,0,0,fletch,0,Fletch,1985,PG,31 May 1985,98 min,68.0,6.9,"46,314",tt0089155,
129,Elizabeth: The Golden Age,Drama,0,1,0,0,0,elizabeth: the golden age,0,Elizabeth: The Golden Age,2007,PG-13,12 Oct 2007,114 min,45.0,6.8,"64,844",tt0414055,"$16,264,475"
130,Four Rooms,Comedy,10,4,4,85,14,four rooms,0,Four Rooms,1995,R,25 Dec 1995,98 min,,6.8,"95,749",tt0113101,
131,Forrest Gump,Comedy,8,7,17,5,11,forrest gump,0,Forrest Gump,1994,PG-13,06 Jul 1994,142 min,82.0,8.8,"1,737,186",tt0109830,"$330,000,000"
132,Drop Dead Gorgeous,Comedy,19,10,18,9,10,drop dead gorgeous,0,Drop Dead Gorgeous,1999,PG-13,23 Jul 1999,97 min,28.0,6.6,"31,682",tt0157503,
133,Fear and Loathing in Las Vegas,Comedy,4,7,48,44,33,fear and loathing in las vegas,0,Fear and Loathing in Las Vegas,1998,R,22 May 1998,118 min,41.0,7.6,"252,866",tt0120669,
134,Ed Wood,Comedy,5,3,9,11,9,ed wood,0,Ed Wood,1994,R,07 Oct 1994,127 min,70.0,7.8,"162,206",tt0109707,
135,Election,Comedy,2,3,1,10,2,election,0,Election,1999,R,07 May 1999,103 min,83.0,7.2,"87,166",tt0126886,
136,Fast Times at Ridgemont High,Comedy,2,4,0,19,10,fast times at ridgemont high,0,Fast Times at Ridgemont High,1982,R,13 Aug 1982,90 min,61.0,7.2,"89,930",tt0083929,
137,Erin Brockovich,Comedy,12,5,31,33,35,erin brockovich,0,Erin Brockovich,2000,R,17 Mar 2000,131 min,73.0,7.3,"169,051",tt0195685,
138,Do The Right Thing,Comedy,11,2,6,62,25,do the right thing,0,Do the Right Thing,1989,R,21 Jul 1989,120 min,93.0,7.9,"83,609",tt0097216,
139,Custody,Comedy,3,2,0,3,3,custody,0,Custody,2017,,07 Feb 2018,93 min,83.0,7.5,"7,590",tt6002232,
140,Death at a Funeral,Comedy,5,0,19,3,22,death at a funeral,0,Death at a Funeral,2007,R,07 Sep 2007,90 min,67.0,7.4,"106,835",tt0795368,
141,Code of Silence,Drama,13,3,6,26,16,code of silence,0,Code of Silence,1985,R,03 May 1985,101 min,64.0,6.1,"6,624",tt0088936,
142,Dear White People,Drama,9,11,9,37,19,dear white people,0,Dear White People,2014,R,04 Dec 2014,108 min,79.0,6.1,"23,926",tt2235108,
143,Creation,Drama,0,0,3,0,3,creation,0,Creation,2009,PG-13,25 Sep 2009,108 min,51.0,6.7,"13,626",tt0974014,"$300,000"
144,Dallas Buyers Club,Drama,12,4,9,58,37,dallas buyers club,0,Dallas Buyers Club,2013,R,22 Nov 2013,117 min,80.0,8.0,"426,639",tt0790636,"$23,750,994"
145,Dead Poets Society,Drama,1,0,6,0,3,dead poets society,0,Dead Poets Society,1989,PG,09 Jun 1989,128 min,79.0,8.1,"407,143",tt0097165,
146,Diner,Comedy,4,3,1,4,5,diner,0,Diner,1982,R,21 May 1982,110 min,82.0,7.1,"18,111",tt0083833,
147,Days of Heaven,Drama,0,0,0,0,0,days of heaven,0,Days of Heaven,1978,PG,06 Oct 1978,94 min,93.0,7.8,"50,241",tt0077405,
148,Cobb,Drama,16,9,38,40,24,cobb,0,Cobb,1994,R,02 Dec 1994,128 min,66.0,6.4,"6,890",tt0109450,
149,Bridesmaids,Comedy,7,5,2,6,19,bridesmaids,0,Bridesmaids,2011,R,13 May 2011,125 min,75.0,6.8,"261,565",tt1478338,"$166,500,000"
150,Charlie's Angels,Comedy,11,6,7,2,8,charlie's angels,0,Charlie's Angels,2000,PG-13,03 Nov 2000,98 min,52.0,5.5,"172,273",tt0160127,"$124,420,707"
151,City of Joy,Drama,2,0,13,0,0,city of joy,0,City of Joy,1992,PG-13,17 Apr 1992,132 min,,6.5,"4,526",tt0103976,
152,Cedar Rapids,Comedy,8,1,8,38,34,cedar rapids,0,Cedar Rapids,2011,R,18 Mar 2011,87 min,70.0,6.2,"35,674",tt1477837,"$6,800,000"
153,Clerks,Comedy,12,10,8,80,38,clerks,0,Clerks,1994,R,09 Nov 1994,92 min,70.0,7.7,"208,478",tt0109445,
154,Tall in the Saddle,Western,0,0,0,0,0,tall in the saddle,0,Tall in the Saddle,1944,Approved,29 Sep 1944,87 min,,7.0,"2,719",tt0037343,
155,Bean,Comedy,4,1,11,0,1,bean,0,Bean,1997,PG-13,07 Nov 1997,89 min,52.0,6.5,"94,780",tt0118689,
156,Candle to Water,Drama,0,11,2,75,15,candle to water,0,Candle to Water,2012,,01 Nov 2012,110 min,,4.6,17,tt2387411,
157,Bringing Out the Dead,Drama,4,1,4,11,10,bringing out the dead,0,Bringing Out the Dead,1999,R,22 Oct 1999,121 min,70.0,6.8,"62,055",tt0163988,
158,Boogie Nights,Drama,18,3,3,98,25,boogie nights,0,Boogie Nights,1997,R,31 Oct 1997,155 min,85.0,7.9,"231,876",tt0118749,
159,Break,Drama,0,0,0,0,0,break,0,Break,2019,,14 Feb 2019,85 min,,4.4,"1,078",tt9805504,
160,Breaking Away,Drama,1,0,15,0,3,breaking away,0,Breaking Away,1979,PG,20 Jul 1979,101 min,91.0,7.7,"21,018",tt0078902,
161,Authors Anonymous,Comedy,1,0,6,0,3,authors anonymous,0,Authors Anonymous,2014,PG-13,18 Mar 2014,92 min,16.0,4.3,"1,974",tt2114461,
162,Boyhood,Drama,13,8,8,41,22,boyhood,0,Boyhood,2014,R,15 Aug 2014,165 min,100.0,7.9,"328,711",tt1065073,"$18,859,617"
163,Bachelor Party,Comedy,12,3,3,2,21,bachelor party,0,Bachelor Party,1984,R,29 Jun 1984,105 min,56.0,6.3,"34,617",tt0086927,
164,Black Snake Moan,Drama,10,6,12,29,42,black snake moan,0,Black Snake Moan,2006,R,02 Mar 2007,116 min,52.0,6.9,"59,991",tt0462200,"$9,262,318"
165,Bad Teacher,Comedy,7,3,2,23,10,bad teacher,0,Bad Teacher,2011,R,24 Jun 2011,92 min,47.0,5.6,"188,694",tt1284575,"$100,292,856"
166,Bad Boys,Comedy,21,4,6,64,30,bad boys,0,Bad Boys,1995,R,07 Apr 1995,119 min,41.0,6.9,"233,204",tt0112442,
167,All About Steve,Comedy,9,0,2,1,2,all about steve,0,All About Steve,2009,PG-13,04 Sep 2009,99 min,17.0,4.8,"39,062",tt0881891,"$33,806,061"
168,After School Special,Comedy,9,0,6,2,14,after school special,0,After School Special,2017,TV-MA,27 Jun 2017,78 min,,2.3,214,tt3291632,
169,American Milkshake,Comedy,10,0,9,26,22,american milkshake,0,American Milkshake,2013,R,20 Jan 2013,83 min,30.0,4.8,309,tt2254364,
170,Arthur,Comedy,5,2,1,8,15,arthur,0,Arthur,2011,PG-13,08 Apr 2011,110 min,36.0,5.7,"50,207",tt1334512,"$29,200,000"
