Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
Dark City,1998,R,27 Feb 1998,100 min,66,7.6,"184,177",tt0118929,N/A,Dark City,Mystery,0,0,6,1,5
Dawn of the Dead,2004,R,19 Mar 2004,101 min,59,7.3,"229,043",tt0363547,"$58,885,635",Dawn of the Dead,Horror,0,0,0,0,0
Day of the Dead,1985,Not Rated,19 Jul 1985,96 min,60,7.2,"61,352",tt0088993,N/A,Day of the Dead,Horror,12,1,8,2,14
Deception,2008,R,25 Apr 2008,107 min,31,6.1,"37,150",tt0800240,"$4,575,019",Deception,Mystery,1,0,7,6,4
Deep Rising,1998,R,30 Jan 1998,106 min,N/A,6.1,"32,461",tt0118956,N/A,Deep Rising,Horror,10,4,11,4,25
Detroit Rock City,1999,R,13 Aug 1999,95 min,33,6.9,"34,659",tt0165710,N/A,Detroit Rock City,Musical,30,7,6,41,30
Devil in a Blue Dress,1995,R,29 Sep 1995,102 min,78,6.7,"16,786",tt0112857,N/A,Devil in a Blue Dress,Mystery,8,6,24,5,11
"Devil's Advocate",1997,R,17 Oct 1997,144 min,60,7.5,"318,388",tt0118971,N/A,"Devil's Advocate",Horror,10,3,9,47,16
Django Unchained,2012,R,25 Dec 2012,165 min,81,8.4,"1,303,854",tt1853728,"$162,804,648",Django Unchained,Western,52,16,43,41,15
Drag Me to Hell,2009,PG-13,29 May 2009,99 min,83,6.5,"184,194",tt1127180,"$42,100,000",Drag Me to Hell,Horror,1,3,4,3,0
Duck Soup,1933,Not Rated,17 Nov 1933,69 min,93,7.8,"54,091",tt0023969,N/A,Duck Soup,Musical,0,0,0,0,0
E.T.,1982,PG,11 Jun 1982,115 min,91,7.8,"358,478",tt0083866,N/A,E.T.,Sci-Fi,0,0,0,0,1
Eagle Eye,2008,PG-13,26 Sep 2008,118 min,43,6.6,"172,786",tt1059786,"$101,111,837",Eagle Eye,Mystery,6,3,5,21,35
Eastern Promises,2007,R,21 Sep 2007,100 min,82,7.6,"222,848",tt0765443,"$17,114,882",Eastern Promises,Mystery,0,6,1,37,1
Eight Legged Freaks,2002,PG-13,17 Jul 2002,99 min,53,5.4,"51,748",tt0271367,"$17,231,006",Eight Legged Freaks,Horror,0,1,5,1,3
El Mariachi,1992,R,26 Feb 1993,81 min,73,6.9,"61,839",tt0104815,N/A,El Mariachi,Western,1,0,1,0,0
El Mariachi,1992,R,26 Feb 1993,81 min,73,6.9,"61,839",tt0104815,N/A,El Mariachi,Western,0,0,0,0,0
Event Horizon,1997,R,15 Aug 1997,96 min,35,6.7,"152,722",tt0119081,N/A,Event Horizon,Horror,3,1,4,13,13
Evil Dead,2013,R,05 Apr 2013,91 min,57,6.5,"153,127",tt1288558,"$54,200,000",Evil Dead,Horror,0,0,3,0,2
Ex Machina,2014,R,24 Apr 2015,108 min,78,7.7,"457,451",tt0470752,"$19,012,798",Ex Machina,Mystery,0,0,2,29,6
Fantastic Mr Fox,2009,N/A,24 Oct 2009,N/A,N/A,7.8,29,tt1531905,N/A,Fantastic Mr Fox,Family,0,0,0,0,0
Feast,2005,R,18 Jan 2007,95 min,43,6.3,"29,126",tt0426459,N/A,Feast,Horror,10,4,15,27,23
Final Destination,2000,R,17 Mar 2000,98 min,36,6.7,"222,992",tt0195714,N/A,Final Destination,Horror,2,0,0,34,8
Final Destination 2,2003,R,31 Jan 2003,90 min,38,6.2,"148,464",tt0309593,"$46,500,000",Final Destination 2,Horror,5,3,14,26,19
Four Feathers,1915,N/A,24 May 1915,N/A,N/A,7.3,23,tt0005353,N/A,Four Feathers,War,0,0,0,0,0
Frankenstein,1931,Passed,21 Nov 1931,70 min,91,7.8,"62,808",tt0021884,N/A,Frankenstein,Horror,2,0,6,0,1
