Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
He's Just Not That Into You,2009,PG-13,6-Feb-09,129,47,6.4,"158,297",tt1001508,"$93,800,000 ",10,0,0,1,Romance,21
Hesher,2010,R,25-Jun-11,106,45,7,"49,780",tt1403177,"$300,000 ",8,2,0,98,Drama,24
High Fidelity,2000,R,31-Mar-00,113,79,7.5,"164,661",tt0146882,N/A,14,1,2,65,Romance,14
Highlander,1986,R,7-Mar-86,116,24,7.1,"118,150",tt0091203,N/A,2,2,1,0,Fantasy,2
Highlander: Endgame,2000,R,1-Sep-00,87,21,4.6,"19,029",tt0144964,N/A,0,0,0,0,Sci-Fi,0
His Girl Friday,1940,Passed,18-Jan-40,92,N/A,7.9,"51,664",tt0032599,N/A,0,0,0,0,Romance,0
Hitchcock,2012,PG-13,14-Dec-12,98,55,6.8,"70,613",tt0975645,"$6,002,708 ",0,1,3,0,Drama,0
Hollow Man,2000,R,4-Aug-00,112,24,5.8,"121,015",tt0164052,"$72,055,301 ",3,0,25,16,Horror,19
Horrible Bosses,2011,R,8-Jul-11,98,57,6.9,"413,492",tt1499658,"$116,900,000 ",9,4,8,48,Crime,27
Hostage,2005,R,11-Mar-05,113,44,6.6,"105,076",tt0340163,"$34,617,915 ",19,2,15,73,Thriller,25
Hot Tub Time Machine,2010,R,26-Mar-10,101,63,6.4,"159,298",tt1231587,"$48,925,682 ",11,1,6,57,Sci-Fi,23
Hotel Rwanda,2004,PG-13,4-Feb-05,121,79,8.1,"326,991",tt0395169,"$23,472,900 ",3,0,0,8,War,3
House of 1000 Corpses,2003,R,11-Apr-03,89,31,6.1,"74,271",tt0251736,"$12,583,510 ",17,12,13,84,Horror,41
How to Lose Friends & Alienate People,2008,R,3-Oct-08,110,35,6.4,"67,038",tt0455538,"$2,458,092 ",5,4,0,28,Romance,9
How to Train Your Dragon,2010,PG,26-Mar-10,98,75,8.1,"647,266",tt0892769,"$216,900,000 ",0,0,0,0,Animation,0
How to Train Your Dragon 2,2014,PG,13-Jun-14,102,76,7.8,"296,202",tt1646971,"$147,065,544 ",0,0,0,0,Animation,0
Hudson Hawk,1991,R,24-May-91,100,17,5.8,"50,686",tt0102070,N/A,6,5,18,16,Crime,13
Human Nature,2001,R,12-Sep-01,96,56,6.4,"17,093",tt0219822,"$651,165 ",3,5,4,14,Comedy,8
I Am Number Four,2011,PG-13,18-Feb-11,111,36,6.1,"224,308",tt1464540,"$55,086,029 ",2,0,3,1,Sci-Fi,1
I Am Sam,2001,PG-13,25-Jan-02,132,28,7.7,"140,577",tt0277027,"$40,270,895 ",1,1,6,1,Drama,1
I Love You Phillip Morris,2009,R,7-Jan-11,98,65,6.6,"90,006",tt1045772,"$2,026,852 ",10,4,6,30,Romance,14
I Spit on Your Grave,2010,R,20-Jan-11,108,27,6.3,"73,601",tt1242432,"$92,401 ",19,10,11,29,Horror,32
I'll Do Anything,1994,PG-13,4-Feb-94,115,N/A,5.5,"2,389",tt0110097,N/A,0,2,2,11,Comedy,11
In the Bedroom,2001,R,8-Feb-02,131,86,7.4,"36,572",tt0247425,"$35,733,119 ",2,3,1,5,Crime,3
In the Loop,2009,Not Rated,4-Sep-09,106,83,7.4,"53,087",tt1226774,"$2,251,324 ",2,2,0,150,Comedy,26
Independence Day,1996,PG-13,3-Jul-96,145,59,7,"516,789",tt0116629,N/A,4,2,12,3,Sci-Fi,5
Indiana Jones and the Last Crusade,1989,PG-13,24-May-89,127,65,8.2,"671,347",tt0097576,N/A,0,0,5,0,Adventure,0
Indiana Jones and the Temple of Doom,1984,PG,23-May-84,118,57,7.6,"434,438",tt0087469,N/A,2,0,8,0,Adventure,1
Inglourious Basterds,2009,R,21-Aug-09,153,69,8.3,"1,217,923",tt0361748,"$120,523,073 ",9,4,18,39,War,6
Insidious,2010,PG-13,1-Apr-11,103,52,6.8,"269,122",tt1591095,"$53,700,000 ",2,3,1,6,Horror,4
Insomnia,2002,R,24-May-02,118,78,7.2,"265,985",tt0278504,"$67,300,000 ",6,4,4,21,Thriller,13
Interstellar,2014,PG-13,7-Nov-14,169,74,8.6,"1,424,440",tt0816692,"$158,737,441 ",2,1,2,0,Sci-Fi,0
Into the Wild,2007,R,19-Oct-07,148,73,8.1,"556,447",tt0758758,"$18,173,360 ",4,0,2,4,Adventure,7
Into the Woods,2014,PG,25-Dec-14,125,69,5.9,"128,879",tt2180411,"$89,789,227 ",0,0,0,0,Adventure,0
Intolerable Cruelty,2003,PG-13,10-Oct-03,100,71,6.2,"89,079",tt0138524,"$35,096,190 ",12,2,6,2,Romance,6
Inventing the Abbotts,1997,R,4-Apr-97,110,49,6.4,"11,311",tt0119381,N/A,7,1,7,15,Romance,21
Invictus,2009,PG-13,11-Dec-09,134,74,7.3,"146,753",tt1057500,"$37,431,431 ",1,0,2,0,Drama,4
It,2017,R,8-Sep-17,135,69,7.3,"436,909",tt1396484,"$326,898,358 ",8,0,4,10,Horror,20
It Happened One Night,1934,Approved,22-Feb-34,105,87,8.1,"90,473",tt0025316,N/A,0,0,0,0,Romance,0
It's a Wonderful Life,1946,Passed,7-Jan-47,130,89,8.6,"384,831",tt0038650,N/A,0,0,0,0,Romance,0
It's Complicated,2009,R,25-Dec-09,120,57,6.5,"84,281",tt1230414,"$112,703,470 ",3,1,0,0,Romance,1
Jackie Brown,1997,R,25-Dec-97,154,64,7.5,"306,026",tt0119396,N/A,52,8,14,109,Crime,64
Jacob's Ladder,1990,R,2-Nov-90,113,62,7.5,"95,662",tt0099871,N/A,1,7,29,19,Thriller,20
Jane Eyre,2011,PG-13,22-Apr-11,120,76,7.3,"78,895",tt1229822,N/A,0,0,1,0,Romance,0
Jason X,2001,R,26-Apr-02,91,25,4.4,"48,982",tt0211443,"$12,610,731 ",24,12,17,20,Horror,39
Jaws,1975,PG,20-Jun-75,124,87,8,"531,727",tt0073195,N/A,4,5,9,0,Horror,1
Jaws 2,1978,PG,16-Jun-78,116,51,5.8,"68,798",tt0077766,N/A,6,5,18,0,Horror,19
Jay and Silent Bob Strike Back,2001,R,24-Aug-01,104,51,6.8,"146,326",tt0261392,"$29,885,424 ",38,40,6,202,Adventure,84
Jennifer's Body,2009,R,18-Sep-09,102,47,5.2,"111,913",tt1131734,"$16,031,583 ",9,3,2,18,Horror,13
Jerry Maguire,1996,R,13-Dec-96,139,77,7.3,"234,615",tt0116695,N/A,4,1,3,21,Romance,10
John Q,2002,PG-13,15-Feb-02,116,30,7.1,"120,302",tt0251160,"$71,026,631 ",0,0,0,0,Thriller,0
John Wick,2014,R,24-Oct-14,101,68,7.4,"514,375",tt2911666,N/A,2,1,1,36,Thriller,9
Joker,2019,R,4-Oct-19,122,59,8.5,"809,274",tt7286456,N/A,10,0,0,36,Thriller,15
Judge Dredd,1995,R,30-Jun-95,96,N/A,5.6,"107,979",tt0113492,N/A,10,2,6,6,Sci-Fi,3
Juno,2007,PG-13,25-Dec-07,96,81,7.4,"481,291",tt0467406,"$143,380,890 ",10,3,3,4,Romance,8
Jurassic Park,1993,PG-13,11-Jun-93,127,68,8.1,"836,515",tt0107290,"$45,299,680 ",1,1,13,0,Horror,12
Jurassic Park III,2001,PG-13,18-Jul-01,92,42,5.9,"288,763",tt0163025,N/A,1,0,7,0,Horror,3
Kafka,1991,PG-13,15-Nov-91,98,46,6.9,"9,089",tt0102181,N/A,0,0,1,0,Drama,0
Kalifornia,1993,R,3-Sep-93,117,49,6.7,"49,891",tt0107302,N/A,7,7,9,22,Thriller,14
Kate & Leopold,2001,PG-13,25-Dec-01,118,44,6.4,"77,364",tt0035423,"$47,095,453 ",0,1,1,4,Romance,6
Kids,1995,Unrated,1-Sep-95,91,63,7.1,"71,099",tt0113540,N/A,9,12,2,99,Drama,42
Kill Your Darlings,2013,R,19-Sep-13,104,65,6.5,"34,380",tt1311071,"$679,958 ",1,2,8,11,Romance,5
Killing Zoe,1993,R,1-Sep-94,96,N/A,6.5,"19,391",tt0110265,N/A,10,5,7,82,Thriller,21
Knocked Up,2007,R,1-Jun-07,129,85,6.9,"343,267",tt0478311,"$148,734,225 ",22,6,3,121,Romance,53
Kramer vs. Kramer,1979,PG,19-Dec-79,105,77,7.8,"128,018",tt0079417,N/A,1,3,9,2,Drama,10
Kundun,1997,PG-13,16-Jan-98,134,74,7,"25,507",tt0119485,N/A,0,0,0,0,Drama,0
Kung Fu Panda,2008,PG,6-Jun-08,92,74,7.5,"405,963",tt0441773,"$215,395,021 ",0,0,0,0,Family,0
Labor of Love,2020–,N/A,21-May-20,/,N/A,3,108,tt12237066,,2,1,5,2,Romance,10
Lake Placid,1999,R,16-Jul-99,82,34,5.7,"53,156",tt0139414,N/A,2,0,1,13,Horror,12
Land of the Dead,2005,R,24-Jun-05,93,71,6.2,"90,019",tt0418819,"$20,433,940 ",5,1,3,30,Horror,9
Larry Crowne,2011,PG-13,1-Jul-11,98,41,6.1,"61,791",tt1583420,"$35,565,975 ",5,1,3,1,Romance,1
Last Chance Harvey,2008,PG-13,16-Jan-09,93,57,6.6,"20,161",tt1046947,"$14,840,421 ",1,0,1,6,Romance,4
Last Tango in Paris,1972,NC-17,7-Feb-73,129,77,7,"48,278",tt0070849,N/A,10,0,6,25,Romance,14
Law Abiding Citizen,2009,R,16-Oct-09,109,34,7.4,"264,575",tt1197624,"$73,343,413 ",15,5,8,43,Thriller,32
Leaving Las Vegas,1995,R,9-Feb-96,111,82,7.5,"111,717",tt0113627,N/A,4,0,1,38,Romance,3
Legally Blonde,2001,PG-13,13-Jul-01,96,59,6.3,"178,156",tt0250494,"$95,001,351 ",13,5,3,2,Comedy,3
Legend,2015,R,20-Nov-15,132,55,6.9,"152,324",tt3569230,"$14,146,549 ",2,0,3,0,Romance,1
Legion,2010,R,22-Jan-10,100,32,5.2,"97,302",tt1038686,"$40,168,080 ",4,6,12,50,Horror,11
Leviathan,2014,R,5-Feb-15,140,92,7.6,"47,377",tt2802154,"$754,393 ",8,5,12,28,Horror,21
Liar Liar,1997,PG-13,21-Mar-97,86,70,6.9,"273,714",tt0119528,N/A,3,1,5,0,Fantasy,6
Life,2017,R,24-Mar-17,104,54,6.6,"199,775",tt5442430,"$30,180,466 ",13,10,28,19,Comedy,16
Life as a House,2001,R,9-Nov-01,125,45,7.5,"42,248",tt0264796,"$15,412,701 ",4,1,2,16,Comedy,11
Life of Pi,2012,PG,21-Nov-12,127,79,7.9,"566,900",tt0454876,"$103,500,000 ",0,0,0,0,Adventure,0
Light Sleeper,1992,R,13-Mar-92,103,70,6.9,"5,232",tt0102307,N/A,5,1,2,26,Drama,8
Lincoln,2012,PG-13,16-Nov-12,150,86,7.3,"239,062",tt0443272,"$129,477,447 ",0,2,18,1,Drama,3
Little Athens,2005,R,1-Jun-05,103,N/A,5.6,902,tt0417907,N/A,41,11,1,136,Comedy,79
Little Men,2016,PG,4-May-17,85,86,6.7,"6,675",tt4919484,"$702,191 ",0,2,2,1,Drama,1
Little Nicky,2000,PG-13,10-Nov-00,90,38,5.3,"95,788",tt0185431,"$38,542,597 ",13,1,7,0,Horror,11
Living in Oblivion,1995,R,21-Jul-95,90,81,7.5,"15,918",tt0113677,N/A,8,0,5,47,Comedy,13
Logan,2017,R,3-Mar-17,137,77,8.1,"619,868",tt3315342,"$226,276,809 ",11,1,4,35,Sci-Fi,19
Logan's Run,1976,PG,23-Jun-76,119,53,6.8,"50,342",tt0074812,N/A,0,0,5,0,Sci-Fi,0
Looper,2012,R,28-Sep-12,113,84,7.4,"522,483",tt1276104,"$66,305,045 ",3,0,8,29,Sci-Fi,13
Lord of Illusions,1995,R,25-Aug-95,109,N/A,6.1,"14,199",tt0113690,N/A,2,1,4,32,Horror,18
Lord of War,2005,R,16-Sep-05,122,62,7.6,"288,049",tt0399295,"$24,033,036 ",2,0,2,54,Crime,3
Lost in Space,2018–,TV-PG,13-Apr-18,60,N/A,7.3,"69,373",tt5232792,,1,1,11,0,Sci-Fi,2
Lost in Translation,2003,R,3-Oct-03,102,89,7.7,"398,514",tt0335266,"$44,566,004 ",0,0,0,3,Romance,1
Machete,2010,R,3-Sep-10,105,60,6.6,"187,641",tt0985694,"$26,200,000 ",10,12,11,50,Thriller,14
Machine Gun Preacher,2011,R,2-Nov-11,129,43,6.8,"61,962",tt1586752,"$400,000 ",1,4,6,28,Crime,13
Mad Max 2: The Road Warrior,1981,R,21-May-82,96,77,7.6,"162,472",tt0082694,N/A,0,0,0,0,Sci-Fi,0
Made,2001,R,31-Aug-01,95,62,6.4,"16,911",tt0227005,"$3,673,981 ",22,3,10,126,Crime,85
Magnolia,1999,R,7-Jan-00,188,77,8,"282,457",tt0175880,N/A,13,6,10,168,Drama,34
Major League,1989,R,7-Apr-89,107,62,7.2,"60,183",tt0097815,N/A,5,2,8,14,Comedy,25
Malcolm X,1992,PG-13,18-Nov-92,202,72,7.7,"82,459",tt0104797,N/A,2,9,4,1,Drama,13
Malibu's Most Wanted,2003,PG-13,18-Apr-03,86,43,5.1,"18,248",tt0328099,"$34,308,901 ",37,17,30,1,Comedy,7
Man on Fire,2004,R,23-Apr-04,146,47,7.7,"321,537",tt0328107,"$77,600,000 ",6,0,3,19,Crime,6
Man on the Moon,1999,R,22-Dec-99,118,58,7.4,"121,427",tt0125664,N/A,6,0,3,6,Comedy,6
Man Trouble,1992,PG-13,17-Jul-92,100,N/A,4.7,"2,825",tt0104804,N/A,5,6,15,6,Romance,10
Manhunter,1986,R,15-Aug-86,120,75,7.2,"63,266",tt0091474,N/A,2,3,6,8,Horror,5
Margaret,2011,R,1-Jun-12,150,61,6.4,"15,594",tt0466893,"$46,495 ",6,1,3,49,Drama,12
Margin Call,2011,R,29-Sep-11,107,76,7.1,"112,802",tt1615147,"$600,000 ",2,0,3,67,Thriller,11
Margot at the Wedding,2007,R,14-Dec-07,91,66,6,"19,133",tt0757361,"$1,929,081 ",4,1,0,39,Comedy,11
Marley & Me,2008,PG,25-Dec-08,115,53,7.1,"143,412",tt0822832,"$143,084,510 ",5,1,3,0,Romance,0
Martha Marcy May Marlene,2011,R,21-Dec-11,102,75,6.9,"47,560",tt1441326,"$2,981,038 ",4,0,1,14,Thriller,5
Marty,1955,Not Rated,10-Jun-55,90,N/A,7.7,"20,694",tt0048356,N/A,0,0,0,0,Romance,0
Max Payne,2008,PG-13,17-Oct-08,100,31,5.4,"120,508",tt0467197,"$40,632,110 ",2,2,1,0,Crime,7
Mean Streets,1973,R,14-Oct-73,112,96,7.3,"95,563",tt0070379,N/A,0,2,3,11,Crime,12
Meet John Doe,1941,Not Rated,3-May-41,122,N/A,7.7,"11,442",tt0033891,N/A,0,0,0,0,Comedy,0
Megamind,2010,PG,5-Nov-10,95,63,7.2,"221,105",tt1001526,"$148,244,405 ",7,2,3,0,Sci-Fi,6
Men in Black,1997,PG-13,2-Jul-97,98,71,7.3,"503,621",tt0119654,N/A,4,1,12,0,Sci-Fi,10
Men in Black 3,2012,PG-13,25-May-12,106,58,6.8,"327,497",tt1409024,"$179,020,854 ",10,1,11,0,Sci-Fi,5
Metro,1997,R,17-Jan-97,117,N/A,5.5,"25,096",tt0119664,N/A,5,5,6,45,Thriller,27
Miami Vice,2006,R,28-Jul-06,132,65,6,"107,576",tt0430357,"$63,400,000 ",4,2,1,23,Crime,10
Midnight Cowboy,1969,R,16-Jun-69,113,79,7.8,"97,754",tt0064665,N/A,3,3,3,0,Drama,1
Midnight Express,1978,R,6-Oct-78,121,59,7.6,"71,083",tt0077928,N/A,14,1,8,43,Thriller,21
Midnight in Paris,2011,PG-13,10-Jun-11,94,81,7.7,"376,423",tt1605783,"$55,400,000 ",0,0,5,0,Romance,0
Mighty Joe Young,1998,PG,25-Dec-98,114,51,5.6,"26,935",tt0120751,N/A,3,0,5,0,Family,0
Mighty Morphin Power Rangers: The Movie,1995,PG,30-Jun-95,95,40,5.2,"24,582",tt0113820,N/A,0,0,1,0,Family,0
Milk,2008,R,30-Jan-09,128,84,7.5,"161,742",tt1013753,"$31,716,847 ",5,0,7,8,Drama,12
Miller's Crossing,1990,R,5-Oct-90,115,66,7.7,"123,096",tt0100150,N/A,1,16,23,1,Thriller,2
Mimic,1997,R,22-Aug-97,105,55,5.9,"44,905",tt0119675,N/A,1,1,1,16,Horror,17
Mini's First Time,2006,R,9-Aug-07,91,45,5.8,"7,915",tt0425253,"$21,828 ",2,8,7,25,Crime,9
Misery,1990,R,30-Nov-90,107,75,7.8,"176,467",tt0100157,N/A,0,4,2,8,Horror,4
Mission: Impossible,1996,PG-13,22-May-96,110,59,7.1,"377,541",tt0117060,N/A,5,4,6,1,Adventure,1
Mission to Mars,2000,PG,10-Mar-00,114,34,5.7,"69,016",tt0183523,N/A,0,2,8,0,Sci-Fi,3
Moneyball,2011,PG-13,23-Sep-11,133,87,7.6,"349,587",tt1210166,"$75,605,492 ",8,1,0,8,Drama,10
Monkeybone,2001,PG-13,23-Feb-01,93,40,4.7,"16,394",tt0166276,"$4,942,155 ",11,1,6,0,Animation,7
Monster's Ball,2001,R,1-Mar-02,111,69,7,"80,974",tt0285742,"$31,252,964 ",0,0,0,0,Romance,0
Monte Carlo,2011,PG,1-Jul-11,109,43,5.8,"40,274",tt1067774,"$22,500,000 ",2,1,1,0,Romance,0
Moonrise Kingdom,2012,PG-13,29-Jun-12,94,84,7.8,"309,299",tt1748122,"$45,507,865 ",0,0,5,0,Romance,1
Moonstruck,1987,PG,15-Jan-88,102,83,7.1,"47,598",tt0093565,N/A,0,2,2,0,Romance,2
Mr. Blandings Builds His Dream House,1948,Approved,4-Jun-48,94,N/A,7.3,"9,775",tt0040613,N/A,0,0,0,0,Comedy,0
Mr. Deeds Goes to Town,1936,Not Rated,12-Apr-36,115,N/A,7.9,"19,113",tt0027996,N/A,0,0,0,0,Comedy,0
Mud,2012,PG-13,10-May-13,130,76,7.4,"163,320",tt1935179,"$21,589,307 ",11,8,4,0,Drama,28
Mumford,1999,R,24-Sep-99,112,62,6.8,"8,660",tt0140397,N/A,5,3,3,6,Comedy,6
Music of the Heart,1999,PG,29-Oct-99,124,54,6.8,"11,502",tt0166943,N/A,1,1,2,0,Drama,3
Mute Witness,1995,R,15-Sep-95,95,N/A,6.7,"5,168",tt0110604,N/A,0,0,3,2,Horror,5
My Best Friend's Wedding,1997,PG-13,20-Jun-97,105,50,6.3,"124,674",tt0119738,N/A,4,4,8,12,Romance,19
My Girl,1991,PG,27-Nov-91,102,56,6.9,"70,013",tt0102492,N/A,0,0,2,0,Romance,3
My Mother Dreams the Satan's Disciples in New York,1998,N/A,1-Oct-98,30,N/A,7.2,108,tt0177023,N/A,1,0,1,3,Short,2
My Week with Marilyn,2011,R,23-Dec-11,99,65,7,"82,007",tt1655420,"$12,600,000 ",1,0,2,12,Drama,3
Mystery Men,1999,PG-13,6-Aug-99,121,65,6.1,"60,815",tt0132347,N/A,1,2,3,0,Fantasy,0
Napoleon Dynamite,2004,PG,27-Aug-04,96,64,6.9,"193,466",tt0374900,"$44,478,018 ",0,0,0,0,Comedy,0
Natural Born Killers,1994,R,26-Aug-94,118,74,7.3,"210,566",tt0110632,N/A,20,11,8,46,Romance,30
Never Been Kissed,1999,PG-13,9-Apr-99,107,60,6.1,"81,213",tt0151738,N/A,0,0,0,0,Romance,0
New York Minute,2004,PG,7-May-04,91,33,5,"21,302",tt0363282,"$14,018,364 ",1,0,5,0,Family,1
Next,2007,PG-13,27-Apr-07,96,42,6.2,"145,493",tt0435705,"$17,993,461 ",5,2,6,0,Sci-Fi,6
Next Friday,2000,R,12-Jan-00,98,41,6.2,"35,810",tt0195945,N/A,46,7,29,32,Comedy,26
"Ni vu, ni connu",2011,N/A,7-Nov-11,100,N/A,6.1,14,tt2070755,N/A,0,0,3,0,Comedy,0
Nick of Time,1995,R,22-Nov-95,90,N/A,6.3,"37,916",tt0113972,N/A,3,5,4,22,Thriller,8
Nightbreed,1990,R,16-Feb-90,102,40,6.6,"18,970",tt0100260,N/A,5,0,12,24,Horror,19
Ninja Assassin,2009,R,25-Nov-09,99,34,6.3,"66,929",tt1186367,"$38,105,077 ",1,1,3,29,Thriller,6
Ninotchka,1939,Not Rated,23-Nov-39,110,N/A,7.9,"18,327",tt0031725,N/A,0,0,0,0,Romance,0
No Country for Old Men,2007,R,21-Nov-07,122,91,8.1,"823,136",tt0477348,"$74,223,625 ",5,2,9,2,Thriller,1
No Strings Attached,2011,R,21-Jan-11,108,50,6.2,"208,225",tt1411238,"$70,300,000 ",7,5,1,29,Romance,13
Notting Hill,1999,PG-13,28-May-99,124,68,7.1,"262,806",tt0125439,N/A,2,1,8,2,Romance,4
Nurse Betty,2000,R,8-Sep-00,110,69,6.1,"32,505",tt0171580,N/A,12,4,32,45,Thriller,30
"O Brother, Where Art Thou?",2000,PG-13,2-Feb-01,107,69,7.7,"276,491",tt0190590,"$45,150,731 ",3,10,41,0,Adventure,0
Oblivion,2013,PG-13,19-Apr-13,124,54,7,"473,697",tt1483013,"$89,021,735 ",0,2,1,0,Sci-Fi,0
Observe and Report,2009,R,10-Apr-09,86,54,5.8,"59,971",tt1197628,"$23,993,605 ",18,10,34,87,Crime,46
Obsessed,2009,PG-13,24-Apr-09,108,25,5,"28,685",tt1198138,"$68,261,644 ",7,4,6,8,Thriller,3
Ocean's Eleven,2001,PG-13,7-Dec-01,116,74,7.7,"500,741",tt0240772,"$183,349,128 ",1,2,7,7,Thriller,14
Ocean's Twelve,2004,PG-13,10-Dec-04,125,58,6.5,"349,441",tt0349903,"$125,402,117 ",1,1,6,1,Thriller,4
Office Space,1999,R,19-Feb-99,89,68,7.7,"236,377",tt0151804,N/A,13,3,3,12,Comedy,23
One Flew Over the Cuckoo's Nest,1975,R,19-Nov-75,133,83,8.7,"884,641",tt0073486,N/A,14,3,4,12,Drama,8
Only God Forgives,2013,R,22-May-13,90,37,5.7,"105,083",tt1602613,"$700,000 ",0,1,0,28,Thriller,2
Ordinary People,1980,R,19-Sep-80,124,86,7.7,"45,278",tt0081283,N/A,8,1,14,10,Drama,12
Orgy of the Dead,1965,Unrated,1-Jun-65,92,N/A,2.9,"2,400",tt0054240,N/A,0,0,3,0,Horror,0
Out of Sight,1998,R,26-Jun-98,123,85,7,"82,946",tt0120780,N/A,15,0,3,51,Romance,42
Pandorum,2009,R,25-Sep-09,108,28,6.7,"141,282",tt1188729,"$10,261,085 ",2,1,6,15,Horror,7
Panic Room,2002,R,29-Mar-02,112,65,6.8,"250,791",tt0258000,"$95,308,367 ",5,0,5,30,Thriller,12
Papadopoulos & Sons,2012,Not Rated,5-Apr-13,105,N/A,6,"2,228",tt2006810,N/A,0,1,0,7,Comedy,4
ParaNorman,2012,PG,17-Aug-12,92,72,7,"91,243",tt1623288,"$55,994,557 ",0,0,3,0,Animation,0
Pariah,2011,R,20-Jan-11,86,79,7.2,"5,885",tt1233334,"$758,099 ",8,0,13,10,Drama,14
Passengers,2016,PG-13,21-Dec-16,116,41,7,"336,522",tt1355644,"$100,014,092 ",0,1,0,0,Sci-Fi,0
Paul,2011,R,18-Mar-11,104,57,7,"229,607",tt1092026,"$37,371,385 ",3,2,10,25,Sci-Fi,19
Pearl Harbor,2001,PG-13,25-May-01,183,44,6.2,"305,436",tt0213149,"$197,761,540 ",4,8,2,8,War,26
Peeping Tom,1960,Not Rated,1-Dec-61,101,N/A,7.7,"29,733",tt0054167,N/A,0,1,0,0,Horror,0
Peggy Sue Got Married,1986,PG-13,10-Oct-86,103,74,6.3,"31,521",tt0091738,N/A,0,1,10,0,Comedy,3
Perfect Creature,2006,R,18-Oct-07,90,N/A,5.4,"5,228",tt0403407,N/A,0,0,1,10,Horror,3
Pet Sematary,1989,R,21-Apr-89,103,38,6.6,"91,220",tt0098084,N/A,3,2,8,2,Horror,10
Pet Sematary II,1992,R,28-Aug-92,100,35,4.9,"18,777",tt0105128,N/A,9,0,8,10,Horror,13
Petulia,1968,R,2-Sep-68,105,N/A,7.1,"2,705",tt0063426,N/A,1,1,9,0,Drama,0
Philadelphia,1993,PG-13,14-Jan-94,125,66,7.7,"217,505",tt0107818,N/A,6,1,7,17,Drama,13
Phone Booth,2002,R,4-Apr-03,81,56,7,"246,069",tt0183649,"$46,524,362 ",9,6,8,49,Thriller,19
Pi,1998,R,10-Jul-98,84,72,7.4,"166,458",tt0138704,N/A,1,0,9,10,Sci-Fi,5
Pineapple Express,2008,R,6-Aug-08,111,64,6.9,"308,770",tt0910936,N/A,11,5,2,194,Crime,61
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,7-Jul-06,151,53,7.3,"640,351",tt0383574,"$423,032,628 ",1,0,1,0,Fantasy,0
Pitch Black,2000,R,18-Feb-00,109,49,7.1,"221,297",tt0134847,N/A,10,0,9,29,Horror,8
Platinum Blonde,1931,Passed,31-Oct-31,89,N/A,6.9,"2,623",tt0022268,N/A,0,0,0,0,Romance,0
Platoon,1986,R,6-Feb-87,120,92,8.1,"370,072",tt0091763,N/A,39,10,11,113,War,100
Pleasantville,1998,PG-13,23-Oct-98,124,71,7.5,"119,048",tt0120789,N/A,0,1,3,1,Fantasy,2
Point Break,1991,R,12-Jul-91,122,58,7.3,"150,813",tt0102685,N/A,14,4,15,54,Adventure,31
Precious,2009,R,20-Nov-09,110,78,7.3,"103,598",tt0929632,"$47,536,959 ",22,19,8,15,Drama,13
Predator,1987,R,12-Jun-87,107,45,7.8,"362,392",tt0093773,N/A,3,4,7,15,Horror,12
Pretty Woman,1990,R,23-Mar-90,119,51,7,"278,631",tt0100405,N/A,7,3,2,4,Romance,11
Pride and Prejudice,1995,TV-PG,14-Jan-96,327,N/A,8.8,"72,954",tt0112130,,1,0,5,0,Romance,0
Priest,2011,PG-13,13-May-11,87,41,5.7,"112,664",tt0822847,"$29,100,000 ",1,0,3,2,Horror,7
Prom Night,2008,PG-13,11-Apr-08,88,17,3.9,"33,088",tt0926129,"$43,818,159 ",2,1,5,0,Mystery,2
Prometheus,2012,R,8-Jun-12,124,64,7,"557,392",tt1446714,"$126,464,904 ",0,1,4,4,Mystery,2
Psycho,1960,R,8-Sep-60,109,97,8.5,"580,762",tt0054215,N/A,0,0,0,0,Horror,0
Public Enemies,2009,R,1-Jul-09,140,70,7,"275,023",tt1152836,"$97,000,000 ",2,5,11,3,Crime,3
Pulp Fiction,1994,R,14-Oct-94,154,94,8.9,"1,764,981",tt0110912,N/A,41,13,22,169,Crime,72
Punch-Drunk Love,2002,R,1-Nov-02,95,78,7.3,"142,544",tt0272338,"$17,800,000 ",1,0,4,18,Romance,6
Purple Rain,1984,R,27-Jul-84,111,55,6.6,"18,889",tt0087957,N/A,8,2,3,22,Drama,11
Quantum Project,2000,N/A,5-May-00,40,N/A,5.9,39,tt0239860,N/A,0,1,0,0,Short,0
Queen of the Damned,2002,R,22-Feb-02,101,30,5.3,"51,416",tt0238546,"$31,000,000 ",0,0,5,0,Horror,1
Rachel Getting Married,2008,R,31-Oct-08,113,82,6.7,"46,580",tt1084950,"$12,748,504 ",5,0,1,10,Romance,7
Raging Bull,1980,R,19-Dec-80,129,89,8.2,"310,546",tt0081398,N/A,10,3,2,67,Drama,7
Raising Arizona,1987,PG-13,17-Apr-87,94,68,7.3,"123,452",tt0093822,N/A,4,8,20,3,Comedy,13
Rambling Rose,1991,R,20-Sep-91,112,N/A,6.6,"4,482",tt0102753,N/A,4,13,27,0,Drama,3
Real Genius,1985,PG,7-Aug-85,108,71,7,"29,339",tt0089886,N/A,0,0,0,0,Comedy,0
Rear Window,1954,PG,1-Sep-54,112,100,8.4,"428,644",tt0047396,N/A,0,0,0,0,Mystery,0
Rebel Without a Cause,1955,PG-13,24-Nov-55,111,89,7.7,"81,022",tt0048545,N/A,0,0,0,0,Drama,0
