,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
461,pleasantville,Fantasy,0,1,3,1,2,0.0,1998,PG-13,23 Oct 1998,124 min,71.0,7.5,"119,048",tt0120789,
462,scott pilgrim vs the world,Fantasy,21,8,1,12,3,,,,,,,,,,
463,thor,Fantasy,1,0,2,0,0,0.0,2011,PG-13,06 May 2011,115 min,57.0,7.0,"725,928",tt0800369,"$181,015,141"
464,star wars: the force awakens,Fantasy,0,0,2,0,0,,,,,,,,,,
465,apollo 13,Adventure,0,0,0,0,0,0.0,1995,PG,30 Jun 1995,140 min,77.0,7.6,"259,692",tt0112384,
466,lord of the rings: return of the king,Fantasy,0,0,0,0,0,,,,,,,,,,
467,who framed roger rabbit?,Family,1,2,6,0,1,,,,,,,,,,
468,30 minutes or less,Adventure,17,13,10,182,65,0.0,2011,R,12 Aug 2011,83 min,49.0,6.1,"91,732",tt1622547,"$37,100,000"
469,"avengers, the",Adventure,0,0,2,1,0,,,,,,,,,,
470,1492: conquest of paradise,Adventure,2,0,3,1,1,0.0,1992.0,PG-13,09 Oct 1992,154 min,47.0,6.5,"27,491",tt0103594,
471,three men and a baby,Family,30,9,29,11,39,0.0,1987,PG,25 Nov 1987,102 min,61.0,6.0,"46,024",tt0094137,
472,you've got mail,Romance,1,1,2,4,5,0.0,1998,PG,18 Dec 1998,119 min,57.0,6.6,"188,515",tt0128853,
473,youth in revolt,Romance,7,0,5,5,5,0.0,2009,R,08 Jan 2010,90 min,63.0,6.4,"71,723",tt0403702,"$15,150,933"
474,"sandlot kids, the",Family,2,5,5,2,4,,,,,,,,,,
475,speed racer,Family,6,0,1,0,0,0.0,2008,PG,09 May 2008,135 min,37.0,6.0,"67,391",tt0811080,"$43,929,341"
476,zerophilia,Romance,8,3,7,15,5,0.0,2005,,13 Oct 2006,90 min,41.0,6.2,"2,176",tt0421090,
477,lord of the rings: the two towers,Fantasy,0,0,0,0,0,,,,,,,,,,
478,mystery men,Fantasy,1,2,3,0,0,0.0,1999,PG-13,06 Aug 1999,121 min,65.0,6.1,"60,815",tt0132347,
479,yes man,Romance,2,3,2,2,10,0.0,2008,PG-13,19 Dec 2008,104 min,46.0,6.8,"327,362",tt1068680,"$97,600,000"
480,wild at heart,Romance,7,4,9,38,20,0.0,1990,R,17 Aug 1990,125 min,52.0,7.2,"80,227",tt0100935,
481,witness,Romance,1,2,6,3,6,0.0,1985,R,08 Feb 1985,112 min,76.0,7.4,"83,584",tt0090329,
482,water for elephants,Romance,3,1,9,1,7,0.0,2011,PG-13,22 Apr 2011,120 min,52.0,6.9,"109,237",tt1067583,"$58,700,247"
483,"visitor, the",Romance,0,0,1,1,2,,,,,,,,,,
484,true romance,Romance,0,0,0,0,0,0.0,1993,R,10 Sep 1993,119 min,59.0,7.9,"199,873",tt0108399,
485,"ugly truth, the",Romance,7,3,1,13,9,,,,,,,,,,
486,up in the air,Romance,8,0,0,28,10,0.0,2009,R,23 Dec 2009,109 min,83.0,7.4,"312,450",tt1193138,"$83,775,048"
487,tristan and isolde,Romance,0,0,0,0,0,0.0,1981,,15 Jan 1982,84 min,,6.6,71,tt0089146,
488,true lies,Romance,2,14,10,3,17,0.0,1994,R,15 Jul 1994,141 min,63.0,7.2,"231,028",tt0111503,
489,twilight,Romance,1,0,0,0,0,0.0,2008,PG-13,21 Nov 2008,122 min,56.0,5.2,"412,755",tt1099212,"$191,449,475"
490,"theory of everything, the",Romance,0,0,1,0,0,,,,,,,,,,
491,"walk to remember, a",Romance,1,0,0,0,5,,,,,,,,,,
492,tamara drewe,Romance,2,2,3,42,15,0.0,2010,R,10 Sep 2010,107 min,64.0,6.2,"20,168",tt1486190,"$560,101"
493,there's something about mary,Romance,9,6,6,60,29,0.0,1998,R,15 Jul 1998,119 min,69.0,7.1,"284,946",tt0129387,
494,"stuntman, the",Romance,25,15,40,24,15,,,,,,,,,,
495,st. elmo's fire,Romance,3,1,5,12,16,0.0,1985,R,28 Jun 1985,110 min,35.0,6.4,"34,515",tt0090060,
496,spanglish,Romance,3,0,10,3,2,0.0,2004,PG-13,17 Dec 2004,131 min,48.0,6.4,"76,974",tt0371246,"$42,044,321"
497,titanic,Romance,1,2,17,2,10,0.0,1997,PG-13,19 Dec 1997,194 min,75.0,7.8,"1,015,018",tt0120338,
498,something's gotta give,Romance,5,2,2,7,5,0.0,2003,PG-13,12 Dec 2003,128 min,66.0,6.7,"109,002",tt0337741,"$121,400,000"
499,"three musketeers, the",Romance,0,0,3,0,0,,,,,,,,,,
500,tin cup,Romance,23,2,14,15,25,0.0,1996,R,16 Aug 1996,135 min,60.0,6.4,"45,017",tt0117918,
501,sleepless in seattle,Romance,0,0,0,2,2,0.0,1993,PG,25 Jun 1993,105 min,72.0,6.8,"153,813",tt0108160,
502,"sessions, the",Romance,2,1,2,3,5,,,,,,,,,,
503,so i married an axe murderer,Romance,9,4,2,2,7,0.0,1993,PG-13,30 Jul 1993,93 min,,6.4,"32,534",tt0108174,
504,"shipping news, the",Romance,3,3,2,4,4,,,,,,,,,,
505,slumdog millionaire,Romance,0,0,1,2,11,0.0,2008,R,25 Dec 2008,120 min,84.0,8.0,"781,199",tt1010048,"$141,243,551"
506,silver linings playbook,Romance,4,0,5,75,24,0.0,2012,R,25 Dec 2012,122 min,81.0,7.7,"647,342",tt1045658,"$132,088,910"
507,shakespeare in love,Romance,0,0,2,0,1,0.0,1998,R,08 Jan 1999,123 min,87.0,7.1,"209,610",tt0138097,
508,"saint, the",Romance,0,0,0,0,0,,,,,,,,,,
509,sex and the city,Romance,4,1,1,7,6,0.0,2008,R,30 May 2008,145 min,53.0,5.6,"113,892",tt1000774,"$152,595,674"
510,she's out of my league,Romance,12,7,7,45,39,0.0,2010,R,12 Mar 2010,104 min,46.0,6.4,"123,849",tt0815236,"$28,712,974"
511,sense and sensibility,Romance,0,1,0,0,0,0.0,1995,PG,26 Jan 1996,136 min,84.0,7.6,"98,350",tt0114388,
512,save the last dance,Romance,26,12,9,32,56,0.0,2001,PG-13,12 Jan 2001,112 min,53.0,6.2,"55,963",tt0206275,
513,x-men,Sci-Fi,1,0,1,0,0,0.0,2000,PG-13,14 Jul 2000,104 min,64.0,7.4,"559,246",tt0120903,"$156,164,829"
514,war of the worlds,Sci-Fi,2,0,3,0,6,0.0,2005,PG-13,29 Jun 2005,116 min,73.0,6.5,"405,645",tt0407304,"$234,141,872"
515,tron: legacy,Sci-Fi,0,0,2,0,0,0.0,2010,PG,17 Dec 2010,125 min,49.0,6.8,"307,359",tt1104001,"$172,051,787"
516,twins,Sci-Fi,3,1,4,1,19,0.0,1988,PG,09 Dec 1988,107 min,53.0,6.1,"109,641",tt0096320,
517,v for vendetta,Sci-Fi,1,1,11,8,2,0.0,2005,R,17 Mar 2006,132 min,62.0,8.2,"1,002,654",tt0434409,"$70,500,000"
518,virtuosity,Sci-Fi,8,8,2,7,7,0.0,1995,R,04 Aug 1995,106 min,39.0,5.6,"27,248",tt0114857,
519,"truman show, the",Sci-Fi,0,1,5,10,3,,,,,,,,,,
520,"x-files: fight the future, the",Sci-Fi,3,0,2,1,4,,,,,,,,,,
521,watchmen,Sci-Fi,3,3,12,0,6,0.0,2009,R,06 Mar 2009,162 min,56.0,7.6,"487,586",tt0409459,"$107,453,620"
522,x-men origins: wolverine,Sci-Fi,2,1,6,0,0,0.0,2009,PG-13,01 May 2009,107 min,40.0,6.6,"457,050",tt0458525,"$179,737,340"
523,tron,Sci-Fi,0,0,2,0,0,0.0,1982,PG,09 Jul 1982,96 min,58.0,6.8,"110,680",tt0084827,
524,surrogates,Sci-Fi,7,2,8,0,2,0.0,2009,PG-13,25 Sep 2009,89 min,45.0,6.3,"167,007",tt0986263,"$38,542,418"
525,terminator 2: judgement day,Sci-Fi,3,3,12,20,16,,,,,,,,,,
526,total recall,Sci-Fi,0,1,0,2,4,0.0,1990,R,01 Jun 1990,113 min,57.0,7.5,"291,951",tt0100802,"$119,000,000"
527,terminator salvation,Sci-Fi,3,1,7,2,6,0.0,2009,PG-13,21 May 2009,115 min,49.0,6.5,"337,037",tt0438488,"$125,286,889"
528,terminator,Sci-Fi,3,1,4,9,4,0.0,1991,,,39 min,,6.1,27,tt5817168,
529,"time machine, the",Sci-Fi,0,0,1,0,0,,,,,,,,,,
530,starship troopers,Sci-Fi,2,3,0,0,0,0.0,1997,R,07 Nov 1997,129 min,51.0,7.2,"261,834",tt0120201,
531,supergirl,Sci-Fi,1,1,0,0,0,0.0,2015–,TV-PG,26 Oct 2015,43 min,,6.3,"106,927",tt4016454,
532,shrek the third,Animation,0,0,0,0,0,0.0,2007,PG,18 May 2007,93 min,58.0,6.1,"272,550",tt0413267,"$320,706,665"
533,toy story,Animation,0,0,0,0,0,0.0,1995,G,22 Nov 1995,81 min,95.0,8.3,"857,038",tt0114709,
534,transformers: the movie,Animation,0,0,2,0,0,,,,,,,,,,
535,wall-e,Animation,0,0,0,0,0,,,,,,,,,,
536,shrek,Animation,2,0,2,0,0,0.0,2001,PG,18 May 2001,90 min,84.0,7.8,"596,311",tt0126029,"$266,982,666"
537,tmnt,Animation,4,0,0,0,0,0.0,2007,PG,23 Mar 2007,103 min,41.0,6.2,"60,242",tt0453556,"$54,132,596"
538,up,Animation,0,0,0,0,0,0.0,2009,PG,29 May 2009,96 min,88.0,8.2,"904,824",tt1049413,"$292,979,556"
539,rise of the guardians,Animation,0,0,0,0,0,0.0,2012,PG,21 Nov 2012,97 min,58.0,7.3,"152,477",tt1446192,"$98,800,000"
540,"rescuers down under, the",Animation,0,0,0,0,0,,,,,,,,,,
541,how to train your dragon,Animation,0,0,0,0,0,0.0,2010,PG,26 Mar 2010,98 min,75.0,8.1,"647,266",tt0892769,"$216,900,000"
542,how to train your dragon 2,Animation,0,0,0,0,0,0.0,2014,PG,13 Jun 2014,102 min,76.0,7.8,"296,202",tt1646971,"$147,065,544"
543,paranorman,Animation,0,0,3,0,0,0.0,2012,PG,17 Aug 2012,92 min,72.0,7.0,"91,243",tt1623288,"$55,994,557"
544,monkeybone,Animation,11,1,6,0,7,0.0,2001,PG-13,23 Feb 2001,93 min,40.0,4.7,"16,394",tt0166276,"$4,942,155"
545,"lego movie, the",Animation,2,0,0,0,0,,,,,,,,,,
546,"croods, the",Animation,0,0,0,0,0,,,,,,,,,,
547,beavis and butt-head do america,Animation,14,1,13,0,0,0.0,1996,PG-13,20 Dec 1996,81 min,64.0,6.8,"50,067",tt0115641,
548,despicable me 2,Animation,0,0,0,0,0,0.0,2013,PG,03 Jul 2013,98 min,62.0,7.3,"360,967",tt1690953,"$368,049,635"
549,frozen (disney),Animation,0,0,0,0,0,,,,,,,,,,
550,"boxtrolls, the",Animation,0,0,0,0,0,,,,,,,,,,
551,cars 2,Animation,0,0,0,0,0,0.0,2011,G,24 Jun 2011,106 min,57.0,6.1,"152,890",tt1216475,"$191,450,875"
552,coco,Animation,0,0,0,0,0,0.0,2017,PG,22 Nov 2017,105 min,81.0,8.4,"343,940",tt2380307,"$208,487,719"
553,american gangster,Crime,3,1,5,79,10,0.0,2007,R,02 Nov 2007,157 min,76.0,7.8,"381,260",tt0765429,"$130,127,620"
554,a scanner darkly,Crime,5,0,6,70,29,0.0,2006,R,28 Jul 2006,100 min,73.0,7.1,"104,320",tt0405296,"$5,281,537"
555,american hustle,Crime,2,4,5,99,32,0.0,2013,R,20 Dec 2013,138 min,90.0,7.2,"437,260",tt1800241,"$99,165,609"
556,analyze this,Crime,8,2,7,56,22,0.0,1999,R,05 Mar 1999,103 min,61.0,6.7,"143,019",tt0122933,
557,bad lieutenant,Crime,5,2,3,68,21,0.0,1992,NC-17,17 Dec 1992,96 min,70.0,7.1,"37,481",tt0103759,
558,analyze that,Crime,8,3,2,74,24,0.0,2002,R,06 Dec 2002,96 min,37.0,5.9,"81,023",tt0289848,"$32,070,920"
559,arsenic and old lace,Crime,0,0,0,0,0,0.0,1944,Not Rated,23 Sep 1944,118 min,,8.0,"63,845",tt0036613,
560,bad country,Crime,7,3,10,83,21,0.0,2014,R,29 Apr 2014,95 min,,5.8,"7,866",tt2350892,
561,collateral damage,Thriller,8,6,4,12,13,0.0,2002,R,08 Feb 2002,108 min,33.0,5.5,"70,795",tt0233469,"$39,965,988"
562,commando,Thriller,5,0,0,7,7,0.0,1985,R,04 Oct 1985,90 min,51.0,6.7,"142,224",tt0088944,
563,cradle 2 the grave,Thriller,9,5,0,34,21,0.0,2003,R,28 Feb 2003,101 min,36.0,5.8,"40,632",tt0306685,"$34,600,000"
564,crank,Thriller,24,14,5,36,41,0.0,2006,R,01 Sep 2006,88 min,57.0,6.9,"230,012",tt0479884,"$27,800,000"
565,44 inch chest,Crime,0,4,1,179,7,0.0,2009,R,15 Jan 2010,95 min,47.0,5.8,"6,420",tt0914837,
566,collateral,Thriller,0,0,0,0,0,0.0,2004,R,06 Aug 2004,120 min,71.0,7.5,"349,490",tt0369339,"$100,003,492"
567,25th hour,Crime,0,0,0,0,0,0.0,2002,R,10 Jan 2003,135 min,67.0,7.6,"166,545",tt0307901,
568,a prayer before dawn,Crime,4,0,0,29,4,0.0,2017,R,10 Aug 2018,116 min,76.0,6.9,"18,806",tt4080956,
569,a most violent year,Crime,1,0,1,29,10,0.0,2014,R,30 Jan 2015,125 min,79.0,7.0,"64,487",tt2937898,
570,cable guy,Thriller,5,3,6,0,4,,,,,,,,,,
571,broken arrow,Thriller,5,1,5,2,8,0.0,1996,R,09 Feb 1996,108 min,61.0,6.0,"88,924",tt0115759,
572,breakdown,Thriller,8,10,5,24,9,0.0,1997,R,02 May 1997,93 min,73.0,6.9,"47,264",tt0118771,
573,bound,Thriller,7,6,4,90,28,0.0,1996,R,04 Oct 1996,109 min,61.0,7.3,"49,122",tt0115736,
574,cecil b. demented,Thriller,11,3,2,32,3,0.0,2000,R,01 Sep 2000,87 min,57.0,6.2,"12,999",tt0173716,
575,chaos,Thriller,2,6,2,9,20,0.0,2005,R,15 Dec 2005,106 min,,6.5,"50,400",tt0402910,
576,cliffhanger,Thriller,2,3,5,21,6,0.0,1993,R,28 May 1993,113 min,60.0,6.4,"116,698",tt0106582,
577,liar liar,Fantasy,3,1,5,0,6,0.0,1997,PG-13,21 Mar 1997,86 min,70.0,6.9,"273,714",tt0119528,
578,"jacket, the",Fantasy,0,0,4,18,10,,,,,,,,,,
579,blood and wine,Thriller,6,2,6,18,9,0.0,1996,R,21 Feb 1997,101 min,,6.0,"8,985",tt0115710,
580,blood simple,Thriller,8,0,5,7,4,0.0,1984,R,18 Jan 1985,99 min,81.0,7.6,"83,644",tt0086979,
581,"lord of the rings: fellowship of the ring, the",Fantasy,0,0,0,0,0,,,,,,,,,,
582,body heat,Thriller,2,0,4,5,6,0.0,1981,R,28 Aug 1981,113 min,77.0,7.4,"29,409",tt0082089,
583,ghost rider,Fantasy,10,2,5,47,9,0.0,2007,PG-13,16 Feb 2007,110 min,35.0,5.2,"218,752",tt0259324,"$115,802,596"
584,erik the viking,Fantasy,0,0,0,0,0,0.0,1989,PG-13,22 Sep 1989,107 min,,6.3,"12,609",tt0097289,
585,boondock saints 2: all saints day,Thriller,20,7,4,115,55,,,,,,,,,,
586,"boondock saints, the",Thriller,26,5,2,171,51,,,,,,,,,,
587,drive angry,Fantasy,8,14,10,73,17,0.0,2011,R,25 Feb 2011,104 min,44.0,5.4,"92,929",tt1502404,"$10,706,786"
588,excalibur,Fantasy,0,0,0,0,0,0.0,1981,PG,10 Apr 1981,140 min,56.0,7.4,"55,818",tt0082348,
589,hancock,Fantasy,13,3,6,30,24,0.0,2008,PG-13,02 Jul 2008,92 min,49.0,6.4,"434,647",tt0448157,"$227,946,274"
590,"green mile, the",Fantasy,13,6,23,15,10,,,,,,,,,,
591,hellboy 2: the golden army,Fantasy,4,1,2,0,1,,,,,,,,,,
592,flash gordon,Fantasy,0,1,5,0,0,0.0,1980,PG,05 Dec 1980,111 min,58.0,6.5,"49,048",tt0080745,
593,highlander,Fantasy,2,2,1,0,2,0.0,1986,R,07 Mar 1986,116 min,24.0,7.1,"118,150",tt0091203,
594,pokemon: mewtwo returns,Family,0,0,0,0,0,,,,,,,,,,
595,"pacifier, the",Family,5,0,0,0,0,,,,,,,,,,
596,dragonslayer,Fantasy,0,0,4,0,0,0.0,1981,PG,26 Jun 1981,109 min,68.0,6.7,"14,523",tt0082288,
597,new york minute,Family,1,0,5,0,1,0.0,2004,PG,07 May 2004,91 min,33.0,5.0,"21,302",tt0363282,"$14,018,364"
598,happy feet,Family,1,0,0,0,1,0.0,2006,PG,17 Nov 2006,108 min,77.0,6.4,"165,838",tt0366548,"$197,800,000"
599,mighty morphin power rangers: the movie,Family,0,0,1,0,0,0.0,1995,PG,30 Jun 1995,95 min,40.0,5.2,"24,582",tt0113820,
600,mighty joe young,Family,3,0,5,0,0,0.0,1998,PG,25 Dec 1998,114 min,51.0,5.6,"26,935",tt0120751,
601,kung fu panda,Family,0,0,0,0,0,0.0,2008,PG,06 Jun 2008,92 min,74.0,7.5,"405,963",tt0441773,"$215,395,021"
602,"neverending story, the",Family,0,0,0,0,0,,,,,,,,,,
603,frankenweenie,Family,0,0,0,0,0,0.0,2012,PG,05 Oct 2012,87 min,74.0,6.9,"94,595",tt1142977,"$35,287,788"
604,fantastic mr fox,Family,0,0,0,0,0,,,,,,,,,,
605,rust and bone,Romance,4,3,1,20,13,0.0,2012,R,17 May 2012,120 min,73.0,7.5,"62,034",tt2053425,"$1,900,000"
606,dogma,Fantasy,20,15,6,66,57,0.0,1999,R,12 Nov 1999,130 min,62.0,7.3,"204,707",tt0120655,
607,"reader, the",Romance,0,0,0,0,0,,,,,,,,,,
608,field of dreams,Family,5,2,8,6,6,0.0,1989,PG,05 May 1989,107 min,57.0,7.5,"105,057",tt0097351,
609,finding nemo,Family,0,0,0,0,0,0.0,2003,G,30 May 2003,100 min,90.0,8.1,"920,858",tt0266543,"$380,529,370"
610,"flintstones, the",Family,2,1,2,0,0,,,,,,,,,,
611,remember me,Romance,13,2,2,3,10,0.0,2010,PG-13,12 Mar 2010,113 min,40.0,7.1,"134,448",tt1403981,"$18,242,661"
612,rushmore,Romance,0,0,0,0,0,0.0,1998,R,19 Feb 1999,93 min,86.0,7.7,"164,730",tt0128445,
613,revolutionary road,Romance,3,0,12,12,3,0.0,2008,R,23 Jan 2009,119 min,69.0,7.3,"190,055",tt0959337,"$22,877,808"
614,rocky,Romance,2,0,8,2,0,0.0,1976,PG,03 Dec 1976,120 min,70.0,8.1,"502,081",tt0075148,
615,romeo & juliet,Romance,0,0,0,0,0,0.0,1978,TV-14,03 Dec 1978,168 min,,6.8,340,tt0078176,
616,runaway bride,Romance,3,0,1,0,0,0.0,1999,PG,30 Jul 1999,116 min,39.0,5.5,"90,635",tt0163187,
617,"proposal, the",Romance,12,3,7,3,13,,,,,,,,,,
618,punch-drunk love,Romance,1,0,4,18,6,0.0,2002,R,01 Nov 2002,95 min,78.0,7.3,"142,544",tt0272338,"$17,800,000"
619,pretty woman,Romance,7,3,2,4,11,0.0,1990,R,23 Mar 1990,119 min,51.0,7.0,"278,631",tt0100405,
620,rachel getting married,Romance,5,0,1,10,7,0.0,2008,R,31 Oct 2008,113 min,82.0,6.7,"46,580",tt1084950,"$12,748,504"
621,"perks of being a wallflower, the",Romance,6,3,3,1,11,,,,,,,,,,
622,out of sight,Romance,15,0,3,51,42,0.0,1998,R,26 Jun 1998,123 min,85.0,7.0,"82,946",tt0120780,
623,"piano, the",Romance,1,0,4,0,3,,,,,,,,,,
624,platinum blonde,Romance,0,0,0,0,0,0.0,1931,Passed,31 Oct 1931,89 min,,6.9,"2,623",tt0022268,
625,"princess bride, the",Romance,0,0,0,0,0,,,,,,,,,,
626,pretty woman (final script),Romance,3,0,4,3,10,,,,,,,,,,
627,"next three days, the",Romance,2,1,0,0,2,,,,,,,,,,
628,no strings attached,Romance,7,5,1,29,13,0.0,2011,R,21 Jan 2011,108 min,50.0,6.2,"208,225",tt1411238,"$70,300,000"
629,never been kissed,Romance,0,0,0,0,0,0.0,1999,PG-13,09 Apr 1999,107 min,60.0,6.1,"81,213",tt0151738,
630,mrs. brown,Romance,0,0,1,0,3,,,,,,,,,,
631,my girl,Romance,0,0,2,0,3,0.0,1991,PG,27 Nov 1991,102 min,56.0,6.9,"70,013",tt0102492,
632,pride and prejudice,Romance,1,0,5,0,0,0.0,1995,TV-PG,14 Jan 1996,327 min,,8.8,"72,954",tt0112130,
633,my best friend's wedding,Romance,4,4,8,12,19,0.0,1997,PG-13,20 Jun 1997,105 min,50.0,6.3,"124,674",tt0119738,
634,notting hill,Romance,2,1,8,2,4,0.0,1999,PG-13,28 May 1999,124 min,68.0,7.1,"262,806",tt0125439,
635,moonstruck,Romance,0,2,2,0,2,0.0,1987,PG,15 Jan 1988,102 min,83.0,7.1,"47,598",tt0093565,
636,ninotchka,Romance,0,0,0,0,0,0.0,1939,Not Rated,23 Nov 1939,110 min,,7.9,"18,327",tt0031725,
637,natural born killers,Romance,20,11,8,46,30,0.0,1994,R,26 Aug 1994,118 min,74.0,7.3,"210,566",tt0110632,
638,"other boleyn girl, the",Romance,0,0,1,0,0,,,,,,,,,,
639,moonrise kingdom,Romance,0,0,5,0,1,0.0,2012,PG-13,29 Jun 2012,94 min,84.0,7.8,"309,299",tt1748122,"$45,507,865"
640,monte carlo,Romance,2,1,1,0,0,0.0,2011,PG,01 Jul 2011,109 min,43.0,5.8,"40,274",tt1067774,"$22,500,000"
641,marty,Romance,0,0,0,0,0,0.0,1955,Not Rated,10 Jun 1955,90 min,,7.7,"20,694",tt0048356,
642,"mask, the",Romance,3,5,2,1,5,,,,,,,,,,
643,midnight in paris,Romance,0,0,5,0,0,0.0,2011,PG-13,10 Jun 2011,94 min,81.0,7.7,"376,423",tt1605783,"$55,400,000"
644,marley & me,Romance,5,1,3,0,0,0.0,2008,PG,25 Dec 2008,115 min,53.0,7.1,"143,412",tt0822832,"$143,084,510"
645,man trouble,Romance,5,6,15,6,10,0.0,1992,PG-13,17 Jul 1992,100 min,,4.7,"2,825",tt0104804,
646,legend,Romance,2,0,3,0,1,0.0,2015,R,20 Nov 2015,132 min,55.0,6.9,"152,324",tt3569230,"$14,146,549"
647,love and basketball,Romance,26,3,14,8,15,,,,,,,,,,
648,starman,Sci-Fi,3,1,9,0,10,0.0,1984,PG,14 Dec 1984,115 min,70.0,7.0,"41,128",tt0088172,
649,last tango in paris,Romance,10,0,6,25,14,0.0,1972,NC-17,07 Feb 1973,129 min,77.0,7.0,"48,278",tt0070849,
650,star wars: the phantom menace,Sci-Fi,0,0,0,0,0,,,,,,,,,,
651,lost in translation,Romance,0,0,0,3,1,0.0,2003,R,03 Oct 2003,102 min,89.0,7.7,"398,514",tt0335266,"$44,566,004"
652,star wars: attack of the clones,Sci-Fi,1,0,2,0,0,,,,,,,,,,
653,leaving las vegas,Romance,4,0,1,38,3,0.0,1995,R,09 Feb 1996,111 min,82.0,7.5,"111,717",tt0113627,
654,star wars: return of the jedi,Sci-Fi,0,0,0,0,0,,,,,,,,,,
655,star wars: the empire strikes back,Sci-Fi,0,0,0,0,0,,,,,,,,,,
656,star wars: revenge of the sith,Sci-Fi,0,0,0,0,0,,,,,,,,,,
657,star trek: the motion picture,Sci-Fi,0,0,3,0,0,0.0,1979,G,08 Dec 1979,132 min,48.0,6.4,"79,288",tt0079945,
658,star trek: generations,Sci-Fi,0,0,0,0,0,0.0,1994,PG,18 Nov 1994,118 min,55.0,6.6,"74,325",tt0111280,
659,star trek: first contact,Sci-Fi,0,0,0,0,0,0.0,1996,PG-13,22 Nov 1996,111 min,71.0,7.6,"115,453",tt0117731,
660,"majestic, the (the bijou)",Romance,1,0,6,0,1,,,,,,,,,,
661,star wars: a new hope,Sci-Fi,0,0,2,0,0,,,,,,,,,,
662,star trek: nemesis,Sci-Fi,1,0,3,0,0,0.0,2002,PG-13,13 Dec 2002,116 min,51.0,6.4,"71,988",tt0253754,"$43,056,895"
663,monster's ball,Romance,0,0,0,0,0,0.0,2001,R,01 Mar 2002,111 min,69.0,7.0,"80,974",tt0285742,"$31,252,964"
664,star trek ii: the wrath of khan,Sci-Fi,0,0,0,0,0,0.0,1982,PG,04 Jun 1982,113 min,67.0,7.7,"110,150",tt0084726,
665,space milkshake,Sci-Fi,1,2,3,1,1,0.0,2012,Not Rated,15 Feb 2013,85 min,,6.0,"1,377",tt1954843,
666,star trek,Sci-Fi,5,0,16,29,6,0.0,2009,PG-13,08 May 2009,127 min,82.0,7.9,"569,689",tt0796366,"$257,704,099"
667,solaris,Sci-Fi,0,0,1,12,1,0.0,2002,PG-13,27 Nov 2002,99 min,65.0,6.2,"77,794",tt0307479,"$14,780,776"
668,serenity,Sci-Fi,4,0,3,1,2,0.0,2005,PG-13,30 Sep 2005,119 min,74.0,7.8,"278,632",tt0379786,"$25,335,935"
669,soldier,Sci-Fi,10,1,4,4,8,0.0,1998,R,23 Oct 1998,99 min,,6.0,"50,772",tt0120157,
670,sphere,Sci-Fi,1,1,13,18,20,0.0,1998,PG-13,13 Feb 1998,134 min,35.0,6.1,"97,311",tt0120184,
671,repo man,Sci-Fi,11,1,22,54,36,0.0,1984,R,02 Mar 1984,92 min,75.0,6.9,"32,672",tt0087995,
672,simone,Sci-Fi,0,3,5,0,2,0.0,2013,Not Rated,24 Jun 2013,72 min,,6.0,46,tt2916440,
673,rise of the planet of the apes,Sci-Fi,4,2,5,0,0,0.0,2011,PG-13,05 Aug 2011,105 min,68.0,7.6,"488,681",tt1318514,"$175,300,000"
674,spider-man,Sci-Fi,2,0,10,0,1,0.0,2002,PG-13,03 May 2002,121 min,73.0,7.3,"671,651",tt0145487,"$403,706,375"
675,"postman, the",Sci-Fi,6,1,19,2,7,,,,,,,,,,
676,"planet of the apes, the",Sci-Fi,0,0,3,0,0,,,,,,,,,,
677,red planet,Sci-Fi,0,0,0,0,0,0.0,2000,PG-13,10 Nov 2000,106 min,34.0,5.7,"54,131",tt0199753,
678,omega man,Sci-Fi,0,0,0,0,0,,,,,,,,,,
679,"beach, the",Thriller,0,0,0,0,0,,,,,,,,,,
680,oblivion,Sci-Fi,0,2,1,0,0,0.0,2013,PG-13,19 Apr 2013,124 min,54.0,7.0,"473,697",tt1483013,"$89,021,735"
681,return of the apes,Sci-Fi,0,0,0,8,8,,,,,,,,,,
682,paul,Sci-Fi,3,2,10,25,19,0.0,2011,R,18 Mar 2011,104 min,57.0,7.0,"229,607",tt1092026,"$37,371,385"
683,pi,Sci-Fi,1,0,9,10,5,0.0,1998,R,10 Jul 1998,84 min,72.0,7.4,"166,458",tt0138704,
684,passengers,Sci-Fi,0,1,0,0,0,0.0,2016,PG-13,21 Dec 2016,116 min,41.0,7.0,"336,522",tt1355644,"$100,014,092"
685,badlands,Thriller,1,4,3,0,0,0.0,1973,PG,05 Jan 1974,94 min,93.0,7.8,"63,169",tt0069762,
686,"assignment, the",Thriller,10,7,3,44,23,,,,,,,,,,
687,barton fink,Thriller,5,13,30,4,5,0.0,1991,R,21 Aug 1991,116 min,69.0,7.7,"109,491",tt0101410,
688,assassins,Thriller,5,5,5,64,31,0.0,1995,R,06 Oct 1995,132 min,,6.3,"75,979",tt0112401,
689,babel,Thriller,7,1,7,21,6,0.0,2006,R,10 Nov 2006,143 min,69.0,7.4,"283,859",tt0449467,"$34,237,104"
690,argo,Thriller,1,1,5,24,4,0.0,2012,R,12 Oct 2012,120 min,86.0,7.7,"559,601",tt1024648,"$136,019,448"
691,"american, the",Thriller,0,3,1,8,6,,,,,,,,,,
