,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
97,papadopoulos & sons,Comedy,0,1,0,7,4,0.0,2012,Not Rated,05 Apr 2013,105 min,,6.0,"2,228",tt2006810,
98,peggy sue got married,Comedy,0,1,10,0,3,0.0,1986,PG-13,10 Oct 1986,103 min,74.0,6.3,"31,521",tt0091738,
99,"last station, the",Drama,0,1,2,0,0,,,,,,,,,,
100,kramer vs kramer,Drama,1,3,9,2,10,,,,,,,,,,
101,"last flight, the",Drama,0,0,0,0,0,,,,,,,,,,
102,storytelling,Comedy,2,2,1,19,6,0.0,2001,R,08 Nov 2001,87 min,50.0,6.8,"16,848",tt0250081,"$850,758"
103,"master, the",Drama,3,0,1,5,4,,,,,,,,,,
104,midnight cowboy,Drama,3,3,3,0,1,0.0,1969,R,16 Jun 1969,113 min,79.0,7.8,"97,754",tt0064665,
105,napoleon dynamite,Comedy,0,0,0,0,0,0.0,2004,PG,27 Aug 2004,96 min,64.0,6.9,"193,466",tt0374900,"$44,478,018"
106,mr blandings builds his dream house,Comedy,0,0,0,0,0,,,,,,,,,,
107,next friday,Comedy,46,7,29,32,26,0.0,2000,R,12 Jan 2000,98 min,41.0,6.2,"35,810",tt0195945,
108,office space,Comedy,13,3,3,12,23,0.0,1999,R,19 Feb 1999,89 min,68.0,7.7,"236,377",tt0151804,
109,mumford,Comedy,5,3,3,6,6,0.0,1999,R,24 Sep 1999,112 min,62.0,6.8,"8,660",tt0140397,
110,"ice storm, the",Drama,3,0,4,3,18,,,,,,,,,,
111,mr deeds goes to town,Comedy,0,0,0,0,0,,,,,,,,,,
112,"ides of march, the",Drama,4,0,3,56,21,,,,,,,,,,
113,ni vu ni connu,Comedy,0,0,3,0,0,,,,,,,,,,
114,invictus,Drama,1,0,2,0,4,0.0,2009,PG-13,11 Dec 2009,134 min,74.0,7.3,"146,753",tt1057500,"$37,431,431"
115,"iron lady, the",Drama,0,0,2,0,0,,,,,,,,,,
116,"king's speech, the",Drama,0,0,6,10,7,,,,,,,,,,
117,margot at the wedding,Comedy,4,1,0,39,11,0.0,2007,R,14 Dec 2007,91 min,66.0,6.0,"19,133",tt0757361,"$1,929,081"
118,major league,Comedy,5,2,8,14,25,0.0,1989,R,07 Apr 1989,107 min,62.0,7.2,"60,183",tt0097815,
119,kafka,Drama,0,0,1,0,0,0.0,1991,PG-13,15 Nov 1991,98 min,46.0,6.9,"9,089",tt0102181,
120,i am sam,Drama,1,1,6,1,1,0.0,2001,PG-13,25 Jan 2002,132 min,28.0,7.7,"140,577",tt0277027,"$40,270,895"
121,meet john doe,Comedy,0,0,0,0,0,0.0,1941,Not Rated,03 May 1941,122 min,,7.7,"11,442",tt0033891,
122,hitchcock,Drama,0,1,3,0,0,0.0,2012,PG-13,14 Dec 2012,98 min,55.0,6.8,"70,613",tt0975645,"$6,002,708"
