Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
I Robot,Sci-Fi,2004,PG-13,16-Jul-04,115,59,7.1,487,tt0343818,,3,0,1,0,4
Jennifer 8,Mystery,1992,R,6-Nov-92,124,,6.3,14,tt0104549,,9,6,8,70,34
Kingdom of the Crystal Skull,Adventure,2008,PG-13,22-May-08,122,65,6.1,414,tt0367882,,0,2,3,0,0
"Lock, Stock and Two Smoking Barrels",Thriller,1998,R,28-Aug-98,107,66,8.2,520,tt0120735,,0,0,0,85,16
Love & Basketball,Romance,2000,PG-13,21-Apr-00,124,70,7.2,17,tt0199725,,26,3,14,8,15
Mr. Brooks,Thriller,2007,R,1-Jun-07,120,45,7.3,140,tt0780571,,10,1,2,29,4
One Eight Seven,Drama,1997,R,30-Jul-97,119,41,6.7,21,tt0118531,,10,11,11,37,27
Poltergeist,Horror,1982,PG,4-Jun-82,114,79,7.3,137,tt0084516,,0,0,1,0,1
Pretty Woman,Romance,1990,R,23-Mar-90,119,51,7,278,tt0100405,,3,0,4,3,10
Raiders of the Lost Ark,Adventure,1981,PG,12-Jun-81,115,85,8.4,859,tt0082971,,0,1,3,0,1
Rambo: First Blood Part II,Adventure,1985,R,22-May-85,96,47,6.5,150,tt0089880,,4,4,7,12,8
Sex Lies and Videotape,Drama,1989,R,22-Sep-89,100,86,7.2,48,tt0098724,,4,7,2,17,11
Star Wars: Episode I - The Phantom Menace,Sci-Fi,1999,PG,19-May-99,136,51,6.5,708,tt0120915,,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones,Sci-Fi,2002,PG,16-May-02,142,54,6.5,621,tt0121765,,1,0,2,0,0
Star Wars: Episode III - Revenge of the Sith,Sci-Fi,2005,PG-13,19-May-05,140,68,7.5,689,tt0121766,,0,0,0,0,0
Star Wars: Episode IV - A New Hope,Sci-Fi,1977,PG,25-May-77,121,90,8.6,1,tt0076759,,0,0,2,0,0
Star Wars: Episode V - The Empire Strikes Back,Sci-Fi,1980,PG,20-Jun-80,124,82,8.7,1,tt0080684,,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,Sci-Fi,1983,PG,25-May-83,131,58,8.3,922,tt0086190,,0,0,0,0,0
"Synecdoche, New York",Comedy,2008,R,5-Feb-09,124,67,7.6,78,tt0383028,,5,0,2,37,5
Terminator 2: Judgment Day,Sci-Fi,1991,R,3-Jul-91,137,75,8.5,967,tt0103064,,3,3,12,20,16
The Adventure,Mystery,2008,N/A,29-Mar-08,22,,8.3,39,tt1172038,,0,0,1,0,0
The Adventures of Buckaroo Banzai Across the 8th Dimension,Sci-Fi,1984,PG,8-Nov-84,103,70,6.3,23,tt0086856,,3,0,21,0,7
The Avengers,Sci-Fi,2012,PG-13,4-May-12,143,69,8,1,tt0848228,,7,2,4,10,6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy,2005,PG,9-Dec-05,143,75,6.9,356,tt0363771,,0,0,0,0,0
The Devil by the tail,Comedy,1969,M,7-Feb-69,90,,6.8,438,tt0064232,,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,PG-13,19-Dec-01,178,92,8.8,1,tt0120737,,0,0,0,0,0
The Sandlot,Family,1993,PG,7-Apr-93,101,55,7.8,76,tt0108037,,2,5,5,2,4
The Twilight Saga: New Moon,Horror,2009,PG-13,20-Nov-09,130,44,4.7,258,tt1259571,,1,0,8,0,0
Three Kings,War,1999,R,1-Oct-99,114,82,7.1,157,tt0120188,,9,6,9,2,4
Adaptation,Drama,,,,,,,,,,7,1,11,39,15
American Shaolin: King of Kickboxers II,Action,,,,,,,,,,2,0,3,0,0
Batman 2,Fantasy,,,,,,,,,,0,0,0,0,0
Bones,Horror,,,,,,,,,,8,7,20,30,30
Buffy the Vampire Slayer,Horror,,,,,,,,,,2,7,1,2,4
Ed TV,Comedy,,,,,,,,,,23,1,0,2,7
Grosse Point Blank,Romance,,,,,,,,,,3,0,6,22,3
Jeux Interdits,War,,,,,,,,,,0,0,0,0,0
Kill Bill Volume 1,Thriller,,,,,,,,,,18,28,17,48,23
Return of the Apes,Sci-Fi,,,,,,,,,,0,0,0,8,8
South Park,Musical,,,,,,,,,,25,19,12,72,20
The (The Bijou) Majestic,Romance,,,,,,,,,,1,0,6,0,1
The Day the Clown Cried,Drama,,,,,,,,,,2,0,7,0,0
The Producer,Musical,,,,,,,,,,0,0,1,0,0
White Jazz,Mystery,,,,,,,,,,13,3,6,39,17
10 Things I Hate About You,Romance,1999,PG-13,3/31/1999,97,70,7.3,286162,tt0147800,,10,7,4,5,9
12,Comedy,2007,PG-13,9/20/2007,159,72,7.7,13680,tt0488478,,0,0,0,0,0
12 and Holding,Drama,2005,R,7/7/2006,94,65,7.5,6623,tt0417385,,9,2,3,10,10
12 Monkeys,Sci-Fi,1995,R,1/5/1996,129,74,8,565400,tt0114746,,6,3,4,8,5
12 Years a Slave,Drama,2013,R,11/8/2013,134,96,8.1,617390,tt2024544,50628650,0,1,25,1,0
127 Hours,Adventure,2010,R,1/28/2011,94,82,7.6,339139,tt1542344,18329466,3,0,1,18,6
127 Hours,Thriller,2010,R,1/28/2011,94,82,7.6,339139,tt1542344,18329466,3,0,1,18,6
1492: Conquest of Paradise,Adventure,1992,PG-13,10/9/1992,154,47,6.5,27491,tt0103594,,2,0,3,1,1
1492: Conquest of Paradise,Adventure,1992,PG-13,10/9/1992,154,47,6.5,27491,tt0103594,,2,0,3,1,1
15 Minutes,Action,2001,R,3/9/2001,120,34,6.1,47723,tt0179626,24160216,4,0,3,28,16
15 Minutes,Thriller,2001,R,3/9/2001,120,34,6.1,47723,tt0179626,24160216,4,0,3,28,16
17 Again,Romance,2009,PG-13,4/17/2009,102,48,6.3,175034,tt0974661,64087443,0,1,1,0,1
2001: A Space Odyssey,Sci-Fi,1968,G,5/12/1968,149,84,8.3,581882,tt0062622,135620,0,0,3,0,0
2012,Action,2009,PG-13,11/13/2009,158,49,5.8,345022,tt1190080,166112167,4,0,5,1,8
2012,Sci-Fi,2009,PG-13,11/13/2009,158,49,5.8,345022,tt1190080,166112167,4,0,5,1,8
25th Hour,Crime,2002,R,1/10/2003,135,67,7.6,166545,tt0307901,,0,0,0,0,0
30 Minutes or Less,Adventure,2011,R,8/12/2011,83,49,6.1,91732,tt1622547,37100000,17,13,10,182,65
42,Drama,2013,PG-13,4/12/2013,128,62,7.5,81222,tt0453562,95001343,1,3,8,0,3
44 Inch Chest,Crime,2009,R,1/15/2010,95,47,5.8,6420,tt0914837,,0,4,1,179,7
48 Hrs.,Thriller,1982,R,12/8/1982,96,71,6.9,66938,tt0083511,,33,8,28,26,53
500 Days of Summer,Romance,2009,PG-13,8/7/2009,95,76,7.7,461195,tt1022603,32118648,4,4,4,10,24
50-50,Drama,2011,N/A,N/A,15,,6.1,34,tt1833204,,4,2,2,26,15
9,Sci-Fi,2009,PG-13,9/9/2009,79,60,7.1,130452,tt0472033,31691649,0,0,0,0,0
A Most Violent Year,Crime,2014,R,1/30/2015,125,79,7,64487,tt2937898,,1,0,1,29,10
A Prayer Before Dawn,Crime,2017,R,8/10/2018,116,76,6.9,18806,tt4080956,,4,0,0,29,4
A Scanner Darkly,Crime,2006,R,7/28/2006,100,73,7.1,104320,tt0405296,5281537,5,0,6,70,29
A Serious Man,Comedy,2009,R,11/6/2009,106,83,7,129672,tt1019452,9190525,4,0,0,17,6
Absolute Power,Thriller,1997,R,2/14/1997,121,52,6.7,49030,tt0118548,,6,1,6,11,11
Ace Ventura: Pet Detective,Comedy,1994,PG-13,2/4/1994,86,37,6.9,270197,tt0109040,,0,0,0,0,0
Affliction,Drama,1997,R,2/19/1999,114,79,7,14661,tt0118564,,8,11,22,53,17
After School Special,Comedy,2017,TV-MA,6/27/2017,78,,2.3,214,tt3291632,,9,0,6,2,14
Air Force One,Thriller,1997,R,7/25/1997,124,61,6.5,175705,tt0118571,,6,1,14,13,10
Airplane!,Romance,1980,PG,7/2/1980,88,78,7.7,204730,tt0080339,,2,0,4,0,4
Ali,Drama,2001,R,12/25/2001,157,65,6.8,91630,tt0248667,58183966,3,0,6,11,2
Alien Nation,Sci-Fi,1988,R,10/7/1988,91,45,6.3,13735,tt0094631,,8,5,12,2,20
Aliens,Horror,1986,R,7/18/1986,137,84,8.3,634359,tt0090605,,4,3,6,22,14
All About Eve,Drama,1950,Passed,10/27/1950,138,98,8.2,116403,tt0042192,,0,0,1,0,0
All About Steve,Comedy,2009,PG-13,9/4/2009,99,17,4.8,39062,tt0881891,33806061,9,0,2,1,2
All the King's Men,Drama,2006,PG-13,9/22/2006,128,37,6.2,23302,tt0405676,,0,0,0,0,0
All the President's Men,Thriller,1976,PG,4/9/1976,138,84,8,98744,tt0074119,,1,1,19,25,15
Almost Famous,Romance,2000,R,9/22/2000,122,90,7.9,244995,tt0181875,31716715,3,0,3,21,2
Amadeus,Drama,1984,R,9/19/1984,160,88,8.3,357893,tt0086879,,0,0,3,2,6
Amelia,Drama,2009,PG,10/23/2009,111,37,5.8,11770,tt1129445,14195118,2,0,5,1,1
American Beauty,Drama,1999,R,10/1/1999,122,84,8.3,1041670,tt0169547,,7,2,3,21,10
American Gangster,Crime,2007,R,11/2/2007,157,76,7.8,381260,tt0765429,130127620,3,1,5,79,10
American Graffiti,Drama,1973,PG,8/11/1973,110,97,7.4,79136,tt0069704,,7,11,8,0,11
American History X,Thriller,1998,R,11/20/1998,119,62,8.5,1005357,tt0120586,,25,11,8,161,54
American Hustle,Crime,2013,R,12/20/2013,138,90,7.2,437260,tt1800241,99165609,2,4,5,99,32
